Year,ID University,University,Applicants Men,Applicants Women,Admissions Men,Admissions Women,Gender,Admissions,Applicants,Rate
2022,144050,University of Chicago,16830,20670,1064,975,Men,1064,16830,0.06322044
2022,144050,University of Chicago,16830,20670,1064,975,Women,975,20670,0.047169811
2021,144050,University of Chicago,17513,20445,1254,1206,Men,1254,17513,0.071603951
2021,144050,University of Chicago,17513,20445,1254,1206,Women,1206,20445,0.058987528
2020,144050,University of Chicago,15670,18680,1295,1215,Men,1295,15670,0.082641991
2020,144050,University of Chicago,15670,18680,1295,1215,Women,1215,18680,0.065042827
2019,144050,University of Chicago,15854,18787,1075,1062,Men,1075,15854,0.067806232
2019,144050,University of Chicago,15854,18787,1075,1062,Women,1062,18787,0.056528451
2018,144050,University of Chicago,15113,17170,1199,1146,Men,1199,15113,0.079335671
2018,144050,University of Chicago,15113,17170,1199,1146,Women,1146,17170,0.066744321
2017,144050,University of Chicago,13050,14644,1229,1190,Men,1229,13050,0.094176245
2017,144050,University of Chicago,13050,14644,1229,1190,Women,1190,14644,0.08126195
2016,144050,University of Chicago,14373,17111,1215,1284,Men,1215,14373,0.0845335
2016,144050,University of Chicago,14373,17111,1215,1284,Women,1284,17111,0.075039448
2015,144050,University of Chicago,13864,16205,1274,1247,Men,1274,13864,0.091892672
2015,144050,University of Chicago,13864,16205,1274,1247,Women,1247,16205,0.076951558
2014,144050,University of Chicago,13101,14399,1199,1210,Men,1199,13101,0.091519731
2014,144050,University of Chicago,13101,14399,1199,1210,Women,1210,14399,0.084033613
