Administration,Publication,Date of Event,Source,Link,Movement,Actor,Type of Action,Target of action,Admin Response,Position,Size,Investment size,Notes,Include
Alivisatos,Maroon,12/5/2024,"Pro-Palestine Faculty and Staff Accuse University of Breaking Gazan Scholars Promise, University Disputes Claim",https://chicagomaroon.com/44764/news/pro-palestine-faculty-and-staff-accuse-university-of-breaking-gazan-scholars-promise-university-disputes-claim/,Palestine,,Protest,,Non-divestment support,For,,,,1
Alivisatos,Maroon,10/30/2024,UChicago Launches Institute for Climate and Sustainable Growth,https://chicagomaroon.com/44590/news/uchicago-launches-institute-for-climate-and-sustainable-growth/,Fossil fuels,EJTF,Protest,General,Police dispersal,For,,,,1
Alivisatos,Maroon,10/27/2024,We’re Turning Our Backs to You! – Chicago Maroon,https://chicagomaroon.com/44383/viewpoints/letter/were-turning-our-backs-to-you/,Palestine,SJP,Letter Writing,General,Disciplinary action,For,,,Suspended / mandatory leave of absense,1
Alivisatos,Maroon,10/11/2024,UChicago Undergrad Charged for Battery of CPD Officer at pro-Palestine Protest – Chicago Maroon,https://chicagomaroon.com/44364/news/uchicago-undergrad-charged-for-battery-of-cpd-officer-at-pro-palestine-protest/,Palestine,SJP,Protest,General,Arrest,For,,,,1
Alivisatos,Maroon,10/11/2024,"Protesters and Police Clash as Protesters Lock Cobb Gate, Police Arrest Three – Chicago Maroon",https://chicagomaroon.com/44211/news/protesters-and-police-clash-as-protesters-lock-cobb-gate-police-arrest-three/,Palestine,UCUP,Protest,General,Arrest,For,,,,1
Alivisatos,Maroon,6/15/2024,A Deficit Without Communication ,https://chicagomaroon.com/43767/viewpoints/column/a-deficit-without-communication/,Palestine,,Letter Writing,,,For,,,,1
Alivisatos,Maroon,6/1/2024,"Pro-Palestine Protesters Disrupt Convocation Ceremonies, One Arrested in Confrontation with Police ",https://chicagomaroon.com/43756/news/pro-palestine-protesters-disrupt-convocation-ceremonies-one-arrested-in-confrontation-with-police/,Palestine,,Protest,,Arrest,For,,,,1
Alivisatos,Maroon,5/17/2024,LIVE UPDATES: Pro-Palestine Protesters Occupy Institute of Politics ,https://chicagomaroon.com/43560/news/live-updates-pro-palestine-protesters-occupy-institute-of-politics/,Palestine,,Protest,,Police dispersal,For,,,,1
Alivisatos,Maroon,5/7/2024,LIVE UPDATES: Police Raid Quad Encampment on Ninth Day – Chicago Maroon,https://chicagomaroon.com/43133/news/live-updates-pro-palestine-encampment-enters-ninth-day-on-quad/,Palestine,,Protest,,Police dispersal,For,,,,1
Alivisatos,Maroon,5/6/2024,"In Times of Crisis, It Is Our Obligation as Members of a Scholarly Community to Practice “Deep Looking” – Chicago Maroon",https://chicagomaroon.com/43118/viewpoints/op-ed/in-times-of-crisis-it-is-our-obligation-as-members-of-a-scholarly-community-to-practice-deep-looking/,Palestine,,Letter Writing,,,Against,,,,0
Alivisatos,Maroon,5/6/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Eighth Day on Quad – Chicago Maroon,https://chicagomaroon.com/43083/news/live-updates-pro-palestine-encampment-enters-eighth-day-on-quad/,Palestine,,Protest,,,For,,,,1
Alivisatos,Maroon,5/5/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Seventh Day on Quad – Chicago Maroon,https://chicagomaroon.com/42984/news/live-updates-pro-palestine-encampment-enters-sixth-day-on-quad-2/,Palestine,,Protest,,,For,,,,1
Alivisatos,Maroon,5/4/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Sixth Day on Quad – Chicago Maroon,https://chicagomaroon.com/42905/news/live-updates-pro-palestine-encampment-enters-sixth-day-on-quad/,Palestine,,Protest,,,For,,,,1
Alivisatos,Maroon,5/3/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Fifth Day on Quad – Chicago Maroon,https://chicagomaroon.com/42726/news/live-updates-pro-palestine-encampment-enters-fifth-day-on-quad/,Palestine,,Protest,,,Against,,,,0
Alivisatos,Maroon,5/3/2024,LIVE UPDATES: Pro-Palestine Encampment Enters Fifth Day on Quad – Chicago Maroon,https://chicagomaroon.com/42726/news/live-updates-pro-palestine-encampment-enters-fifth-day-on-quad/,Palestine,,Protest,,,For,,,,1
