year,type,"Degree-Seeking
First-Time
First Year",Degree-Seeking Undergraduates (include first-time first-year),Total Undergraduates (both degree- and non-degreeseeking),,,,,,
2021-2022,Nonresident aliens,313,"1,186","1,199",,,,,,
2021-2022,Hispanic/Latino,332,"1,122","1,122",,,,,,
2021-2022,"Black or African American, non-Hispanic",162,456,456,,,,,,
2021-2022,"White, non-Hispanic",626,"2,513","2,513",,,,,,
2021-2022,"American Indian or Alaska Native, non-Hispanic",0,1,1,,,,,,
2021-2022,"Asian, non-Hispanic",374,"1,499","1,499",,,,,,
2021-2022,"Native Hawaiian or other Pacific Islander, nonHispanic",0,1,1,,,,,,
2021-2022,"Two or more races, non-Hispanic",141,525,525,,,,,,
2021-2022,Race and/or ethnicity unknown,105,210,210,,,,,,
2022-2023,Nonresident aliens,266,"1,190","1,201",,0,,,,
2022-2023,Hispanic/Latino,369,"1,215","1,215",,,,,,
2022-2023,"Black or African American, non-Hispanic",153,502,502,,,,,,
2022-2023,"White, non-Hispanic",487,"2,393","2,393",,,,,,
2022-2023,"American Indian or Alaska Native, non-Hispanic",0,1,1,,,,,,
2022-2023,"Asian, non-Hispanic",293,"1,480","1,480",,,,,,
2022-2023,"Native Hawaiian or other Pacific Islander, nonHispanic",0,1,1,,,,,,
2022-2023,"Two or more races, non-Hispanic",129,527,527,,,,,,
2022-2023,Race and/or ethnicity unknown,32,150,150,,,,,,
2023-2024,Nonresident aliens,302,1195,"1,211",,,,,,
2023-2024,Hispanic/Latino,313,1278,"1,278",,,,,,
2023-2024,"Black or African American, non-Hispanic",115,520,520,,,,,,
2023-2024,"White, non-Hispanic",520,2308,"2,308",,,,,,
2023-2024,"American Indian or Alaska Native, non-Hispanic",1,2,2,,,,,,
2023-2024,"Asian, non-Hispanic",333,1475,"1,475",,,,,,
2023-2024,"Native Hawaiian or other Pacific Islander, nonHispanic",0,1,1,,,,,,
2023-2024,"Two or more races, non-Hispanic",119,529,529,,,,,,
2023-2024,Race and/or ethnicity unknown,46,165,165,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
