Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
TAPS 10200,(s) Heidi,17,8,2.5,0.296
ARTV 10300,(s) Caitlyn Au,14,5,6.25,0.213
TAPS 10200,(s) Celeste,14,5,3.75,0.253
TAPS 10200,(s) Leslie,12,4,2.5,0.235
ARTV 10300,(s)  Qiuchen Wu,9,5,4.5,0.224
MUSI 10200,(s)  Patrick Murphy,28,5,5.0,0.226
TAPS 10800,(s) Elizabeth Leopold,13,9,3.61,0.217
MUSI 10300,(s) Andrew Stock,15,8,4.38,0.19
MUSI 10300,(s)  Paul Novak,16,9,5.28,0.215
ARTV 10100,(s)  Ting Chun Wang,12,10,3.0,0.237
CMST 14400,(s),18,11,4.77,0.328
TAPS 10300,(s),19,9,4.17,0.221
TAPS 10200,(s) Kathryn,15,6,3.33,0.251
ARTV 10100,(s)  Serena Himmelfarb,4,3,5.83,0.182
TAPS 10300,(s),18,13,4.5,0.156
TAPS 10300,(s),17,7,3.33,0.228
ARTV 10100,(s),16,6,4.17,0.235
TAPS 10300,(s)  John,17,8,3.33,0.182
TAPS 10200,(s),14,4,2.5,0.228
MUSI 10100,(s)  Anne Monique Pace,18,6,4.17,0.197
TAPS 10300,(s),20,10,3.61,0.256
MUSI 10300,(s)  Sean Shepherd,17,9,3.33,0.143
CRWR 18200,(s),12,7,5.83,0.31
TAPS 10900,(s)  Clara Nizard,14,6,2.5,0.132
CMST 14400,(s),18,10,4.17,0.264
CRWR 18200,(s),12,5,3.5,0.299
CMST 14400,(s),21,11,4.0,0.295
ARTV 10100,(s)  Wilson Yerxa,17,11,6.94,0.277
CMST 14400,(s),18,10,3.21,0.285
ARTV 10300,(s) Jason Salavon,12,6,3.33,0.222
TAPS 10200,(s),14,5,3.5,0.21
MUSI 10400,(s) Florian Walch,16,11,5.68,0.22
ARTV 10100,(s),14,9,7.5,0.202
TAPS 10100,(s) David New,17,7,3.33,0.31
ARTV 10100,(s),13,8,5.0,0.223
ARTV 10100,(s),15,6,4.5,0.229
MUSI 10400,(s)  Jennifer Iverson,17,8,5.62,0.182
MUSI 10100,(s) Martha Feldman,19,10,3.75,0.21
ARTV 10200,(s),12,9,8.61,0.201
TAPS 10200,(s),15,4,2.5,0.267
CMST 14400,(s),19,9,3.12,0.257
CMST 14400,(s),18,10,3.06,0.241
CMST 14400,(s),18,6,2.5,0.15
ARTV 10200,(s),16,14,2.86,0.182
TAPS 10900,(s)  Tara Willis,14,9,4.17,0.242
CMST 14400,(s),18,5,3.5,0.222
TAPS 10100,(s) Seth Bockley,20,11,3.61,0.262
MUSI 10100,(s) Melani Shahin,17,9,4.17,0.201
ARTV 10100,(s),14,3,5.83,0.229
TAPS 10300,(s),18,7,3.93,0.227
MUSI 10100,(s) Catrin Dowd,17,14,3.27,0.246
CMST 14400,(s),18,10,3.5,0.308
ARTV 10300,(s) Catherine Sullivan,12,8,4.38,0.259
MUSI 10400,(s) Jacob Reed,15,5,6.25,0.25
MUSI 10200,(s) Travis Jackson,13,5,5.5,0.148
ARTV 10200,(s),12,7,4.64,0.165
ARTV 10100,(s),15,9,5.83,0.213
ARTV 10100,(s),16,8,3.93,0.234
CRWR 18200,(s),12,12,4.17,0.308
TAPS 10900,(s) Tina Post,13,11,2.95,0.266
ARTV 10100,(s),16,9,5.0,0.269
CRWR 18200,(s),12,8,6.25,0.299
ARTV 10200,(s),11,3,4.17,0.181
MUSI 10100,(s) Devon Borowski,14,6,9.17,0.219
TAPS 10300,(s),16,10,3.75,0.27
TAPS 10900,(s) Tara Willis,13,5,5.5,0.254
ARTV 10200,(s),15,5,2.5,0.213
MUSI 10100,(s)  Paula Harper,17,7,3.5,0.196
TAPS 10100,(s) Pamela Pascoe,20,10,3.5,0.3
MUSI 10200,(s)  Jessica Baker,20,9,2.5,0.163
ARTV 10100,(s),16,10,3.0,0.22
CRWR 18200,(s),12,5,5.0,0.252
ARTV 10100,(s),15,6,2.5,0.198
MUSI 10300,(s) Anh Vu,15,7,3.33,0.228
TAPS 10300,(s),16,9,3.75,0.212
TAPS 10900,(s) Tina Post,16,12,2.95,0.262
TAPS 10300,(s),16,8,3.75,0.272
ARTV 10100,(s),5,3,9.17,0.238
ARTV 10200,(s),9,8,3.93,0.146
ARTV 10100,(s),15,13,5.0,0.28
ARTV 10100,(s),15,7,5.0,0.161
ARTV 10300,(s) Catherine Sullivan,10,4,3.75,0.211
MUSI 10200,(s)  Christopher Batterman Chairez,17,9,3.61,0.184
ARTV 10100,(s),12,5,3.75,0.319
ARTV 10100,(s),10,7,11.07,0.162
TAPS 10100,(s) David New,18,9,4.64,0.264
ARTV 10100,(s),17,8,8.5,0.209
ARTV 10100,(s),13,8,2.5,0.216
ARTV 10100,(s),15,7,2.5,0.249
CRWR 18200,(s),12,10,3.5,0.299
TAPS 10200,(s) Pamela,14,9,6.94,0.238
MUSI 10300,(s)  Anh Vu,17,11,7.5,0.251
TAPS 10300,(s),17,9,3.61,0.18
TAPS 10300,(s),20,11,4.17,0.174
MUSI 10400,(s) Audrey Slote,19,13,3.75,0.237
ARTV 10300,(s)  Jason Salavon,14,8,4.38,0.228
CMST 14400,(s),18,9,2.5,0.215
ARTV 10100,(s),16,8,6.07,0.24
MUSI 10400,(s)  Tomal Hossain,18,5,2.5,0.183
ARTV 10300,(s) Wilson Yerxa,15,7,6.07,0.201
ARTV 10100,(s),14,9,3.75,0.128
MUSI 10200,(s)  Anna Schultz,19,10,4.0,0.223
CMST 14400,(s),18,8,3.12,0.254
TAPS 10300,(s),18,11,4.77,0.212
MUSI 10100,(s)  Paula Harper,17,6,5.0,0.209
MUSI 10300,(s)  Anh Vu,17,12,5.42,0.229
ARTV 10100,(s),14,9,4.38,0.233
MUSI 10400,(s) Florian Walch,20,7,6.07,0.187
TAPS 10200,(s) Heidi,17,9,4.17,0.22
CMST 14400,(s),18,12,2.5,0.234
TAPS 10100,(s) David New,18,6,2.5,0.268
TAPS 10300,(s),17,12,3.75,0.275
ARTH 10100,(s)  Claudia,95,37,3.44,0.294
TAPS 10200,(s) Shade,15,12,3.5,0.181
CMST 14400,(s),19,10,3.0,0.271
CMST 14400,(s),18,7,3.33,0.228
MUSI 10100,(s)  Devon Borowski,17,8,5.36,0.213
TAPS 10200,(s)  Shade,12,8,3.75,0.223
TAPS 10300,(s),18,8,2.5,0.227
CRWR 18200,(s),12,10,7.0,0.243
MUSI 10200,(s) Fiona Boyd,18,10,3.06,0.193
CRWR 18200,(s),12,6,4.17,0.3
MUSI 10200,(s) Erol Koymen,14,7,3.33,0.23
TAPS 10800,(s)  Elizabeth Leopold,15,7,2.5,0.215
ARTV 10100,(s),13,4,2.5,0.149
ARTV 10100,(s),18,12,3.75,0.255
MUSI 10300,(s) Anh Vu,19,12,5.42,0.227
MUSI 10200,(s) Tomal Hossain,17,6,5.0,0.286
TAPS 10100,(s)  David New,18,10,4.5,0.226
TAPS 10800,(s) Julia Rhoads,16,12,6.25,0.273
ARTV 10100,(s),16,9,2.5,0.289
CMST 14400,(s),17,5,3.5,0.237
MUSI 10200,(s) Emily Williams,19,14,4.42,0.248
