Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
BIOS 10130,(s) Beatrice,46,16,3.5,0.216
BIOS 11125,"(s) Aaron Turkewitz, Marcelo Nobrega",24,18,3.61,0.2
BIOS 11137,(s),48,21,3.61,0.191
BIOS 13128,(s),55,31,5.26,0.258
BIOS 10130,(s) Alison,39,25,7.07,0.13
BIOS 10140,(s) Oscar PinedaCatalan,27,18,5.31,0.178
BIOS 10140,(s) Robert Bednarczyk,25,15,3.75,0.196
BIOS 13134,(s) Katelyn Butler,32,15,4.17,0.286
BIOS 10130,(s),48,18,4.56,0.177
BIOS 14117,(s),36,15,2.5,0.2
BIOS 14117,(s),15,12,3.75,0.209
BIOS 10140,(s) Pliny Smith,23,11,6.14,0.159
BIOS 13111,(s)  Eric C Larsen,124,49,3.69,0.187
BIOS 12117,(s)  Neil H Shubin,66,28,8.43,0.175
BIOS 12115,"(s)  Mahesh P Gupta, Yun Fang",26,11,5.5,0.202
BIOS 11136,"(s) Andrew Dahl, Xuanyao Liu",28,15,2.92,0.223
BIOS 10602,(s) Esmael Jafari Haddadian,24,16,11.56,0.176
BIOS 10140,(s) Carolyn Martineau,30,17,7.5,0.242
BIOS 10140,(s) Amanda Brock,24,15,3.65,0.178
BIOS 12114,(s) Paul J,119,42,6.05,0.189
BIOS 10140,(s) Carolyn Martineau,26,19,7.5,0.253
BIOS 10140,(s) Robert Bednarczyk,25,12,4.5,0.164
BPRO 28800,"(s) Leslie Rogers, Paul",133,49,3.72,0.244
BIOS 15127,(s) Katelyn Butler,30,17,4.83,0.233
BIOS 12114,(s)  Paul J,121,54,6.83,0.161
BIOS 10130,(s) Beatrice,47,22,4.0,0.199
BIOS 10140,(s)  Navneet Bhasin,27,9,5.36,0.135
BIOS 10140,(s) Pliny Smith,17,11,8.0,0.158
BIOS 10140,(s)  Megan McNulty,27,11,7.5,0.173
BIOS 11140,(s) Navneet Bhasin,40,17,5.0,0.169
BIOS 10140,(s) Pliny Smith,20,9,9.17,0.138
BIOS 10140,(s) Oscar PinedaCatalan,27,15,6.35,0.142
BIOS 10140,(s) Oscar PinedaCatalan,24,12,7.92,0.201
BIOS 10140,(s) Megan McNulty,27,11,8.0,0.186
BIOS 10140,(s)  Alison Hunter,35,21,11.0,0.174
BIOS 10140,(s)  Katelyn Butler,23,14,3.21,0.196
BIOS 10140,(s)  Katelyn Butler,25,8,5.62,0.135
GEOS 13900,(s) David Jablonski,112,60,4.95,0.251
BIOS 13132,(s) Trevor Price,108,50,4.94,0.184
BIOS 12121,"(s) Alfredo Garcia III, Anna Clebone, Keith Ruskin",34,15,4.17,0.166
BIOS 10130,(s) Eric C,115,61,3.64,0.186
BIOS 13132,(s) Trevor Price,12,5,5.0,0.083
BIOS 15115,(s)  Mitchel L Villereal,43,21,3.5,0.164
BIOS 10501,(s),89,58,11.55,0.173
BIOS 14112,"(s) Marcia Tan, Megan McNulty",60,25,5.0,0.202
BIOS 10500,(s),73,44,5.91,0.183
BIOS 10140,(s)  Navneet Bhasin,27,8,4.17,0.108
BIOS 13140,(s) Eric C Larsen,66,32,3.93,0.205
BIOS 10140,(s)  Alison Hunter,34,10,8.0,0.144
BIOS 15126,(s)  Robert Bednarczyk,31,14,3.21,0.179
BIOS 10140,(s) Pliny Smith,21,13,6.14,0.156
BIOS 13140,(s)  Eric C Larsen,106,37,3.36,0.241
BIOS 10140,(s) Amanda Brock,24,12,3.41,0.132
BIOS 10140,(s) Oscar PinedaCatalan,26,15,7.5,0.146
BIOS 10140,(s) Megan McNulty,24,15,8.27,0.18
BIOS 10130,(s) Alison,42,22,8.86,0.123
BIOS 11140,(s) Navneet Bhasin,37,19,5.74,0.1
BIOS 10140,(s) Robert Bednarczyk,25,15,3.57,0.145
BIOS 15115,(s) Mitchel L Villereal,47,28,5.5,0.225
BIOS 10603,(s) Esmael Jafari Haddadian,25,14,10.36,0.129
