Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
SALC 24002,(s),18,9,5.0,0.254
HIST 10101,(s) Ayodeji,19,7,4.17,0.143
NEHC 20012,(s) Hakan Karateke,30,17,6.88,0.232
HIST 13002,(s) Oliver Cussen,18,7,6.07,0.219
SOSC 24900,(s) Ben Laurence,19,7,7.5,0.252
SALC 20702,(s) Katie,19,10,5.5,0.282
JWSC 12001,(s) Larisa Reznik,26,12,7.05,0.185
HIST 14000,(s) William Nickell,19,6,4.17,0.218
GNSE 15002,(s) Jordan Johansen,19,6,5.0,0.208
HIST 13700,(s),12,7,5.83,0.209
NEHC 20014,(s) Mehrnoush Soroush,32,13,4.0,0.257
HIST 13500,(s),15,8,5.62,0.229
HIST 13900,(s) Eleonora Gilburd,20,13,8.65,0.186
GNSE 15002,(s) Rhiannon Auriemma,19,8,5.0,0.2
GNSE 15002,(s) Ghenwa Hayek,19,11,6.0,0.267
HIST 16900,(s),11,5,5.83,0.214
HIST 16800,(s) Jordan Johansen,25,13,7.5,0.113
HIST 13600,(s),21,12,6.67,0.198
NEHC 20017,(s)  Jana Matuszak,26,13,2.95,0.217
SOSC 24901,(s) Chiara Galli,19,9,4.17,0.167
HIST 14000,(s) Anna Aizman,19,5,5.0,0.27
SALC 24002,(s) KyeongHee Choi,23,11,4.0,0.136
HIST 13001,(s) Ada Palmer,17,5,5.0,0.176
HIST 13002,(s) Rachel Fulton Brown,15,6,11.25,0.222
GNSE 15003,(s) Leah M. Feldman,19,12,6.59,0.193
HIST 13002,(s) Michael Williams,14,4,6.25,0.233
SALC 20702,(s) Katie,16,4,6.25,0.224
MDVL 20602,(s) Adam Flowers,22,10,3.5,0.219
HIST 16800,(s) Clifford Ando,28,13,6.35,0.235
SALC 24002,(s) Sunit Singh,18,11,13.21,0.173
GNSE 15002,(s) Daisy Delogu,19,7,6.07,0.263
NEHC 20603,(s)  Ada,22,9,6.79,0.241
HIST 13002,(s)  Michael Williams,18,6,4.5,0.211
GNSE 15002,(s) Lina Ferreira CabezaVanegas,25,12,7.5,0.269
HIPS 18401,(s) Michael Paul Rossi,49,25,5.76,0.212
NEHC 20004,(s),23,14,4.29,0.24
SALC 24002,(s),16,8,7.5,0.184
HIST 13500,(s),17,5,9.5,0.155
HIST 13500,(s),20,9,6.39,0.241
HIST 18301,(s) Keegan Boyar,19,10,7.0,0.18
GNSE 15003,(s) Hoda El Shakry,20,11,6.94,0.28
NEHC 20005,(s)  Petra Goedegebuure,16,5,3.75,0.222
GNSE 15002,(s) Stephanie Painter,19,8,5.36,0.186
HIST 14000,(s) William Nickell,20,8,7.5,0.183
HIST 16700,(s) Jonathan Hall,26,14,12.5,0.259
HIST 14000,(s) Eleonora Gilburd,21,11,9.64,0.222
MDVL 20601,(s) Nicholas Longworth,24,7,3.21,0.268
HIST 11701,(s) Larisa Reznik,25,11,5.68,0.171
NEHC 20012,(s) Katherine Costello,16,8,7.5,0.232
NEHC 20006,(s) Margaret,21,14,7.12,0.191
GNSE 15002,(s) Olivia Bustion,19,7,6.07,0.21
HIST 18301,(s) Mannat Johal,18,7,6.79,0.213
HIST 10102,(s) Ayodeji Olugbuyiro,19,6,5.0,0.18
HIST 11701,(s) Larisa Reznik,21,7,5.0,0.22
SALC 24002,(s),20,9,5.0,0.171
HIST 13900,(s) Yaroslav Gorbachov,19,7,7.5,0.221
GNSE 15003,(s) Maggie Borowitz,19,13,7.5,0.258
HIST 13001,(s) Daniel Jacobs,19,11,4.5,0.198
SOSC 24901,(s) Ben Laurence,21,9,5.0,0.211
GNSE 15002,(s) Ghenwa Hayek,18,8,3.93,0.242
HIST 13001,(s) Rachel Fulton Brown,19,6,6.67,0.17
HIST 13001,(s) James Vaughn,19,11,7.05,0.274
HIST 13600,(s),15,6,6.5,0.201
GNSE 15003,(s) Rhiannon Auriemma,15,8,4.38,0.177
NEHC 20016,(s)  Augusta McMahon,40,12,5.0,0.247
HIST 14100,(s)  Anna Aizman,24,17,5.44,0.222
NEHC 20011,(s) James Osborne,44,24,3.69,0.218
RLST 20315,(s) Cecilia Palombo,15,9,4.38,0.256
HIST 13700,(s),20,9,6.39,0.253
SOSC 24901,(s) Savitri Kunze,19,15,4.5,0.137
HIST 17521,(s) Fredrik,28,16,6.73,0.245
HIST 13001,(s) Sheena Finnigan,17,8,8.75,0.178
SOSC 24900,(s) Ben Laurence,19,10,4.5,0.174
SALC 20702,(s) Zoya,20,9,5.28,0.268
SALC 20702,(s)  Zoya,20,7,7.5,0.216
HIST 13900,(s) Alina Shokareva,18,7,6.07,0.207
HIST 13600,(s),14,4,6.25,0.157
SOSC 24900,(s) Nory Peters,19,13,5.83,0.217
GNSE 15003,(s) Rhiannon Auriemma,21,6,5.5,0.118
HIST 13200,(s) Katy Weintraub,23,7,3.33,0.203
SOSC 24901,(s) Nory Peters,19,12,4.17,0.207
HIST 18301,(s) Stephan Palmie,17,8,6.79,0.195
HIST 10102,(s) Ayodeji Olugbuyiro,18,6,6.5,0.195
HIST 13001,(s) Michael Williams,19,10,6.25,0.253
