Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
HUMA 12400,(s),19,11,5.28,0.294
HUMA 12400,(s),19,10,7.5,0.258
HUMA 12300,(s),19,11,5.68,0.238
HUMA 14100,(s) Joseph Stadolnik,16,9,8.06,0.218
HUMA 12150,(s) Lokchun Law,15,8,5.0,0.191
HUMA 11700,(s)  Magnus Ferguson,16,7,8.21,0.243
HUMA 16100,(s) Sianne Ngai,18,11,7.05,0.162
HUMA 16100,(s) Haitham Ibrahim,17,10,5.5,0.183
HUMA 11500,(s),19,12,5.83,0.222
HUMA 11000,(s) Whitney Cox,13,4,10.0,0.229
HUMA 18100,(s),16,12,4.58,0.266
HUMA 11600,(s),19,16,4.69,0.189
HUMA 18000,(s),18,11,4.77,0.206
HUMA 16000,(s) HsinYuan Peng,19,18,6.03,0.187
HUMA 12300,(s),19,12,4.32,0.208
HUMA 11600,(s),19,11,6.59,0.212
HUMA 12050,(s) Stephen Haswell Todd,19,14,5.36,0.195
HUMA 16000,(s) Benjamin Morgan,19,12,5.5,0.205
HUMA 14000,(s) Kevin King,19,12,7.92,0.201
HUMA 11100,(s) Geoffrey Rees,9,8,5.0,0.122
HUMA 14100,(s) Nicholas Longworth,19,13,9.5,0.211
HUMA 14200,(s)  Joseph Stadolnik,9,5,5.5,0.171
HUMA 18000,(s),17,10,7.5,0.248
HUMA 11100,(s) Pablo Ottonello,11,9,4.72,0.225
HUMA 11100,(s) Geoffrey Rees,10,6,5.83,0.183
HUMA 11700,(s),13,12,5.83,0.2
HUMA 11700,(s)  David Finkelstein,14,9,5.28,0.214
HUMA 12300,(s),18,15,6.83,0.204
HUMA 18000,(s),16,7,6.79,0.282
HUMA 12400,(s),16,14,5.96,0.269
HUMA 11600,(s) Daniel Wyche,19,14,6.07,0.2
HUMA 11500,(s),19,9,8.06,0.275
HUMA 11100,(s) Sophie Salvo,12,8,6.25,0.145
HUMA 11000,(s) Herve Reculeau,12,8,12.5,0.195
HUMA 12500,(s),15,10,5.5,0.24
HUMA 17100,(s),19,10,4.0,0.187
HUMA 14100,(s) Kevin King,19,12,6.59,0.314
HUMA 11100,(s) Sophie Salvo,12,8,14.64,0.202
HUMA 12400,(s),19,16,6.79,0.169
HUMA 18100,(s),19,14,5.42,0.244
HUMA 12400,(s),19,9,8.61,0.172
HUMA 18200,(s),9,4,8.75,0.209
HUMA 17200,(s),10,4,4.17,0.186
HUMA 11100,(s) Rocco Rubini,9,6,9.5,0.173
HUMA 14100,(s) Emily Coit,14,8,5.62,0.199
HUMA 16000,(s) Katherine Buse,19,16,4.69,0.179
HUMA 17100,(s),19,15,3.93,0.26
HUMA 18000,(s),18,13,6.73,0.228
HUMA 11100,(s) Rocco Rubini,16,8,10.0,0.231
HUMA 11500,(s),18,9,5.62,0.216
HUMA 12400,(s),17,9,6.39,0.187
HUMA 11600,(s) Magnus Ferguson,19,9,7.5,0.177
HUMA 11000,(s) Kimberly Kenny,15,7,8.21,0.219
HUMA 11000,(s) Geoffrey Rees,14,8,6.25,0.18
