Course Code,Category,Course Name,Average of Average Hours,Average of Sentiment Score
AKKD 10501,Language,Introduction to Babylonian I,10,0.157
AKKD 10502,Language,Introduction to Babylonian II,13.66,0.074
AKKD 10503,Language,Introduction to Babylonian III,14.5,0.183
ARAB 10101,Language,Elementary Arabic I,5.24,0.246666667
ARAB 10102,Language,Elementary Arabic II,6.166666667,0.250666667
ARAB 10103,Language,Elementary Arabic III,7,0.224666667
ARAB 20101,Language,Intermediate Arabic I,5.54,0.2395
ARAB 20102,Language,Intermediate Arabic II,6.5,0.2085
ARAB 20103,Language,Intermediate Arabic III,10,0.267
ARME 10101,Language,Elementary Modern Armenian I,3.66,0.286
ARTH 10100,Arts,Introduction to Art,3.44,0.294
ARTV 10100,Arts,Visual Language: On Images,4.943333333,0.225037037
ARTV 10200,Arts,Visual Language: On Objects,4.451666667,0.181333333
ARTV 10300,Arts,Visual Language: On Time and Space,4.665714286,0.222571429
ASLG 10100,Language,American Sign Language I,4.855,0.2345
ASLG 10200,Language,American Sign Language II,4.855,0.2085
ASLG 10300,Language,American Sign Language III,5.805,0.2385
ASTR 12600,Language,"Matter, Energy, Space, and Time",5.94,0.207
ASTR 12610,Language,Black Holes,7.175,0.2075
ASTR 12620,Language,The Big Bang,6.11,0.248
ASTR 12700,Language,Stars,6.18,0.215
ASTR 12710,Language,Galaxies,8.07,0.201
ASTR 12720,Language,Exoplanets,3.89,0.222
ASTR 18200,Language,The Origin and Evolution of the Universe,4.56,0.257
BANG 10300,Language,First-Year Bangla (Bengali) III,7,0.199
BIOS 10130,Biological Science,Principles of Biology,5.271666667,0.171833333
BIOS 10140,Biological Science,Inquiry-based Exploration of Biology,6.314166667,0.167458333
BIOS 10500,Biological Science,Metabolism and Exercise ,5.91,0.183
BIOS 10501,Biological Science,Systems of the Human Body,11.55,0.173
BIOS 10602,Biological Science,Multiscale Modeling of Biological Systems I,11.56,0.176
BIOS 10603,Biological Science,Multiscale Modeling of Biological Systems II,10.36,0.129
BIOS 11125,Biological Science,Life Through a Genomic Lens,3.61,0.2
BIOS 11136,Biological Science,Introduction to Complex Trait Genetics,2.92,0.223
BIOS 11137,Biological Science,Phenotypes and Genotypes,3.61,0.191
BIOS 11140,Biological Science,Biotechnology for the 21st Century,5.37,0.1345
BIOS 12114,Biological Science,Nutritional Science,6.44,0.175
BIOS 12115,Biological Science,Responses of Cardiopulmonary System to Stress,5.5,0.202
BIOS 12117,Biological Science,Your Inner Fish: The Deep History of the Human Body,8.43,0.175
BIOS 12121,Biological Science,Physiology in Extreme Environments,4.17,0.166
BIOS 13111,Biological Science,Natural History of North American Deserts,3.69,0.187
BIOS 13128,Biological Science,Plant-Animal Interactions,5.26,0.258
BIOS 13132,Biological Science,Ecology in the Anthropocene,4.97,0.1335
BIOS 13134,Biological Science,It's Not Easy Being Green: An Introduction to Plant Biology,4.17,0.286
BIOS 13140,Biological Science,The Public and Private Lives of Insects,3.645,0.223
BIOS 14112,Biological Science,From Fossils to Fermi's Paradox: Origin and Evolution of Intelligent Life,5,0.202
BIOS 14117,Biological Science,The Science and Art of Vision,3.125,0.2045
BIOS 15115,Biological Science,Cancer Biology: How Good Cells Go Bad,4.5,0.1945
BIOS 15126,Biological Science,"Plants, Pathogens, and People",3.21,0.179
BIOS 15127,Biological Science,"Plants, Pathogens, and People",4.83,0.233
BPRO 28800,Biological Science,From Fossils to Fermi's Paradox: Origin and Evolution of Intelligent Life,3.72,0.244
CHEM 12400,Physical Science,The Chemistry of Big Problems,6.2,0.192
CHEM 12600,Physical Science,The Chemistry of Food and Cooking,6.41,0.212
CHEM 12900,Physical Science,The Chemistry of Artist's Materials,4.05,0.241
CHIN 10100,Language,Elementary Modern Chinese I,8.7175,0.17
CHIN 10200,Language,Elementary Modern Chinese II,9.25,0.184
CHIN 10300,Language,Elementary Modern Chinese III,8.026666667,0.190333333
CHIN 11100,Language,First-Year Chinese for Bilingual Speakers I,7,0.164
CHIN 11200,Language,First-Year Chinese for Bilingual Speakers II,5.33,0.145
CHIN 11300,Language,First-Year Chinese for Bilingual Speakers III,7,0.187
CHIN 20100,Language,Intermediate Modern Chinese I,8.71,0.2005
CHIN 20200,Language,Intermediate Modern Chinese II,10,0.1825
CHIN 20300,Language,Intermediate Modern Chinese III,8.25,0.2225
CMST 14400,Arts,Film and the Moving Image,3.318666667,0.2526
CRWR 18200,Arts,Poetry and the Human III,4.9275,0.28875
DATA 11800,Mathematical Science,Introduction to Data Science I,9.984285714,0.178714286
EGPT 10101,Language,Introduction to Middle Egyptian Hieroglyphs I ,8,0.266
EGPT 10102,Language,Introduction to Middle Egyptian Hieroglyphs II,7,0.221
EGPT 10103,Language,Introduction to Middle Egyptian Hieroglyphs III,5.33,0.197
FREN 10100,Language,Beginning Elementary French I,8.608571429,0.177142857
FREN 10200,Language,Beginning Elementary French II,9.245,0.234666667
FREN 10300,Language,Beginning Elementary French III,6.135,0.225
FREN 10402,Language,Heritage French : Developing Foundational Skills,8.42,0.258
FREN 20100,Language,"French Language, History, and Culture I",7.833333333,0.185333333
FREN 20200,Language,"French Language, History, and Culture II",5.708,0.182
FREN 20300,Language,"French Language, History, and Culture III",7.306666667,0.195666667
GEOS 13900,Biological Science,Biological Evolution,4.95,0.251
GEOS 25600,Physical Science,Getting Something for Nothing,3.15,0.199
GNSE 15002,Civilization Studies,Gender and Sexuality in World Civilizations I,5.794545455,0.239363636
GNSE 15003,Civilization Studies,Gender and Sexuality in World Civilizations II,6.123,0.2049
GREK 10100,Language,Introduction to Attic Greek I,7.25,0.193
GREK 10200,Language,Introduction to Attic Greek II,12.085,0.1735
GREK 10300,Language,Introduction to Attic Greek III,10,0.22
GREK 20100,Language,Intermediate Greek I,7.085,0.1885
GREK 20300,Language,Intermediate Greek III,12.5,0.24
GRMN 10100,Language,Elementary German for Beginners I,4.165,0.18475
GRMN 10200,Language,Elementary German for Beginners II,5.185,0.21675
GRMN 10300,Language,Elementary German for Beginners III,6.05,0.2025
HEBR 10501,Language,Introductory Modern Hebrew I,5.75,0.189
HEBR 10503,Language,Introductory Modern Hebrew III,7,0.197
HEBR 20501,Language,Intermediate Modern Hebrew I,6.16,0.222
HEBR 20502,Language,Intermediate Modern Hebrew II,7,0.178
HIND 10100,Language,First-Year Hindi I ,5.5,0.221
HIND 10200,Language,First-Year Hindi II,3.25,0.217
HIND 10300,Language,First-Year Hindi III,3.66,0.221
HIPS 18401,Civilization Studies,"Science, Culture, and Society in Western Civilization II: History of Medicine 1500 to 1900",5.76,0.212
HIST 10101,Civilization Studies,Introduction to African Civilization I,5.835,0.1745
HIST 10102,Civilization Studies,Introduction to African Civilization II,5.75,0.1875
HIST 10103,Civilization Studies,Introduction to African Civilization III,3.75,0.256
HIST 11701,Civilization Studies,Jewish Civilization I: Ancient Beginnings to Medieval Period,5.226666667,0.201666667
HIST 13001,Civilization Studies,History of European Civilization I,6.9025,0.2015
HIST 13002,Civilization Studies,History of European Civilization II,6.938571429,0.215285714
HIST 13003,Civilization Studies,History of European Civilization III,6.665,0.27
HIST 13100,Civilization Studies,History of Western Civilization I,2.5,0.175
HIST 13200,Civilization Studies,History of Western Civilization II,3.33,0.203
HIST 13500,Civilization Studies,America in World Civilization I,7.17,0.208333333
HIST 13600,Civilization Studies,America in World Civilization II,7.226,0.1926
HIST 13700,Civilization Studies,America in World Civilization III,6.844,0.2188
HIST 13900,Civilization Studies,"Russia and Eurasia: Empires, Societies, Cultures I",7.555,0.19575
HIST 14000,Civilization Studies,"Russia and Eurasia: Empires, Societies, Cultures II",6.5775,0.22325
HIST 14100,Civilization Studies,"Russia and Eurasia: Empires, Societies, Cultures III",5.44,0.222
HIST 16700,Civilization Studies,Ancient Mediterranean World I,8.335,0.222
HIST 16800,Civilization Studies,Ancient Mediterranean World II,6.925,0.174
HIST 16900,Civilization Studies,Ancient Mediterranean World III,4.665,0.187
HIST 17521,Civilization Studies,Energy in World Civilizations I,6.73,0.245
HIST 17522,Civilization Studies,Energy in World Civilizations II,9.42,0.278
HIST 18301,Civilization Studies,"Colonizations I: Colonialism,
Enslavement and Resistance in the Atlantic World",6.763333333,0.196833333
HUMA 11000,Humanities,Readings in World Literature I,5.813846154,0.208923077
