Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
MATH 13100,(s) Mariya Sardarli,N/A,N/A,N/A,0.105
MATH 16200,(s) Tobias,6,6,7.5,0.221
CMSC 14200,"(s) Jesus AlmarazArgueta, Mohammed Suhail",49,21,9.72,0.17
STAT 22000,(s) Kendra Burbank,106,40,9.31,0.133
STAT 22000,(s) Fei Liu,59,21,10.0,0.235
DATA 11800,(s) William Trok,61,23,8.82,0.229
STAT 22000,(s) Kendra Burbank,47,20,8.38,0.25
DATA 11800,(s) Susanna Lange,80,32,8.88,0.205
CMSC 14100,"(s) Anne Rogers, Jesus AlmarazArgueta",63,28,11.54,0.162
DATA 11800,(s) Dan Nicolae,87,45,8.38,0.171
MATH 15200,(s) Daniel Campos Salas,N/A,N/A,N/A,0.231
MATH 15200,(s) Paul Apisa,N/A,N/A,N/A,0.151
MATH 13100,(s) Ronno Das,N/A,N/A,N/A,0.077
CMSC 14200,"(s)  Jesus AlmarazArgueta, Ravi Chugh",68,32,10.96,0.217
CMSC 14100,"(s) Anne Rogers, Jesus AlmarazArgueta",66,31,12.71,0.235
CMSC 14200,"(s) Borja Sotomayor Basilio, Jesus Almaraz",59,32,8.71,0.166
MATH 15200,(s) Carlos di Fiore,N/A,N/A,N/A,0.121
STAT 20000,(s) Yibi Huang,57,29,6.76,0.201
CMSC 14100,"(s) Aaron Elmore, Jesus AlmarazArgueta",67,35,9.85,0.166
MATH 16210,(s),16,15,13.57,0.233
CMSC 14200,"(s)  Hannah Morgan, Jesus AlmarazArgueta",70,30,11.5,0.221
MATH 13100,(s) Oishee Banerjee,N/A,N/A,N/A,0.198
MATH 16110,(s),13,9,11.25,0.283
MATH 16110,(s),17,12,14.17,0.167
MATH 16210,(s),12,7,17.5,0.215
MATH 15200,(s) Anthony Wang,N/A,N/A,N/A,0.16
DATA 11800,(s) Amanda Kube,86,45,10.0,0.163
STAT 22000,(s)  Daniel Xiang,67,20,8.75,0.21
MATH 16210,(s),13,10,11.5,0.281
CMSC 14100,"(s) Anne Rogers, Jesus AlmarazArgueta",62,33,16.39,0.195
CMSC 14200,"(s) Jesus AlmarazArgueta, Matthew Wachs",57,22,7.78,0.182
CMSC 14100,"(s) Hannah Morgan, Jesus AlmarazArgueta",48,31,7.88,0.094
STAT 22000,(s)  Fei Liu,73,27,8.33,0.143
MATH 16200,(s) John,22,18,12.21,0.202
MATH 16100,(s) Andreas,25,19,11.94,0.193
CMSC 14100,"(s) Jesus AlmarazArgueta, Mohammed Suhail",55,24,7.73,0.18
DATA 11800,(s) William Trimble,24,14,11.73,0.157
CMSC 14200,"(s) Jesus AlmarazArgueta, Matthew Wachs",53,26,9.3,0.158
MATH 16200,(s) Tina,18,7,7.5,0.123
MATH 16200,(s) Andreas,20,14,15.0,0.191
MATH 16100,(s) Nicholas,13,6,15.83,0.132
CMSC 14100,"(s) Hannah Morgan, Jesus AlmarazArgueta",51,17,13.27,0.23
MATH 16110,(s),15,11,15.23,0.211
MATH 15200,(s) Francisc Bozgan,N/A,N/A,N/A,0.169
STAT 20000,(s)  Yibi Huang,54,15,7.5,0.11
CMSC 14100,"(s) Aaron Elmore, Jesus AlmarazArgueta",62,39,11.61,0.169
STAT 22000,(s) Ryan McShane,50,27,12.13,0.103
DATA 11800,(s) Amanda Kube,30,13,7.08,0.214
MATH 16100,(s) John,25,18,13.06,0.243
CMSC 14200,"(s) Adam Shaw, Jesus AlmarazArgueta",55,25,13.5,0.241
CMSC 14200,"(s) Jesus AlmarazArgueta, Mohammed Suhail",37,16,8.75,0.179
MATH 16200,(s) Nicholas,7,4,10.0,0.158
MATH 15100,(s) Anthony Chaves Aguilar,N/A,N/A,N/A,0.136
STAT 22000,(s)  Fei Liu,71,26,8.8,0.188
MATH 16110,(s),18,14,10.71,0.233
MATH 16210,(s),17,7,13.21,0.198
MATH 15100,(s) Francisc Bozgan,N/A,N/A,N/A,0.09
DATA 11800,(s)  Evelyn Campbell,75,29,15.0,0.112
STAT 22000,(s) Fei Liu,66,27,7.92,0.178
MATH 13200,(s) Reid Harris,N/A,N/A,N/A,0.134
STAT 22000,(s) Ryan McShane,92,52,13.7,0.049
MATH 16100,(s) Tina,17,9,10.62,0.188
STAT 22000,(s)  Daniel Xiang,89,32,6.94,0.186
CMSC 14200,"(s)  Jesus AlmarazArgueta, Matthew Wachs",57,21,10.39,0.196
CMSC 14100,"(s) Jesus AlmarazArgueta, Mohammed Suhail",60,29,12.88,0.155
MATH 16100,(s) Tobias,6,5,5.5,0.199
MATH 15200,(s) Reid Harris,N/A,N/A,N/A,0.215
