Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
SOSC 14100,(s) Anne Henly,19,12,12.5,0.202
SOSC 14300,(s)  Marisa Tice,19,17,3.68,0.226
SOSC 14200,(s) Alysson Light,19,9,6.94,0.273
SOSC 11400,(s) Omar Kutty,8,6,7.5,0.121
SOSC 14100,(s) Frederica,19,11,4.77,0.212
SOSC 16300,(s)  Stephen,19,8,8.75,0.244
SOSC 11600,(s)  Nicole Whalen,19,12,11.59,0.179
SOSC 11500,(s) Phillip Henry,15,4,8.75,0.159
SOSC 12500,(s),18,9,7.5,0.213
SOSC 12400,(s),18,14,8.65,0.182
SOSC 16200,(s) Salih Noor,17,7,6.07,0.108
SOSC 12600,(s),18,10,6.94,0.203
SOSC 12600,(s),15,4,2.5,0.141
SOSC 15200,(s) Daragh Grant,19,11,9.77,0.182
SOSC 15300,(s)  Joel Isaac,17,10,6.39,0.194
SOSC 17300,(s)  Derek Buyan,19,9,5.83,0.229
SOSC 15200,(s) Joshua Trubowitz,11,10,7.5,0.217
SOSC 14100,(s) Boaz Keysar,19,14,6.59,0.298
SOSC 12600,(s),14,6,6.67,0.163
SOSC 16200,(s) Jenny,19,9,6.94,0.248
SOSC 11600,(s)  Pamela Nogales,16,6,7.5,0.184
SOSC 14200,(s) Leslie Kay,18,7,3.5,0.183
SOSC 14200,(s) Howard C Nusbaum,19,8,5.0,0.171
SOSC 17100,(s) Joseph Haydt,19,15,7.17,0.227
SOSC 12500,(s),19,10,6.25,0.179
SOSC 16200,(s) Stephen,18,10,9.0,0.205
SOSC 14300,(s)  Frederica,19,9,7.5,0.234
SOSC 12600,(s),19,8,4.5,0.256
SOSC 12400,(s),18,9,5.36,0.182
SOSC 15200,(s) Daniel Koehler,15,4,6.25,0.205
SOSC 12400,(s),17,8,7.5,0.226
SOSC 14300,(s)  Anne Henly,16,9,6.07,0.249
SOSC 11400,(s),19,15,7.5,0.199
SOSC 16300,(s)  Jesse,19,12,6.67,0.279
SOSC 12400,(s),16,11,7.0,0.293
SOSC 13320,(s)  Yue Lin,19,6,12.5,0.231
SOSC 16100,(s) Andrew,17,11,11.59,0.093
SOSC 12500,(s),19,9,10.0,0.253
SOSC 17100,(s) Bruce Winkelman,19,11,5.68,0.229
SOSC 16300,(s)  Keegan,21,6,5.0,0.201
SOSC 14200,(s) Katherine O'doherty,19,9,6.39,0.21
SOSC 12500,(s),19,9,9.72,0.206
SOSC 13100,(s),18,12,4.77,0.285
SOSC 15200,(s) Chiara Cordelli,18,10,6.0,0.231
SOSC 15100,(s) Jordan Jochim,10,8,8.75,0.176
SOSC 11400,(s) Ryan Allen,8,7,10.36,0.194
SOSC 15100,(s) Konrad Weeda,8,6,9.5,0.209
SOSC 14300,(s)  Jean Decety,18,11,4.77,0.215
SOSC 11600,(s)  Pamela Nogales,14,4,12.5,0.213
SOSC 16200,(s) Geoffrey,17,11,7.0,0.23
SOSC 15300,(s)  Joseph Lampert,17,5,5.83,0.0
SOSC 13200,(s),19,14,3.75,0.263
SOSC 12600,(s),19,6,5.83,0.262
SOSC 11600,(s)  Daniel Burnfin,10,5,9.5,0.206
SOSC 12500,(s),19,9,6.94,0.219
SOSC 15100,(s) William Levine,19,10,8.0,0.188
SOSC 14300,(s)  Shannon Lee Heald,14,4,8.75,0.22
SOSC 11400,(s),15,11,7.95,0.173
SOSC 11400,(s),7,4,10.0,0.253
SOSC 12600,(s),15,9,10.5,0.238
SOSC 11600,(s)  Omar Kutty,10,6,6.67,0.165
SOSC 12600,(s),15,10,9.64,0.18
SOSC 11600,(s)  Isaac Hand,16,9,11.94,0.213
SOSC 12500,(s),16,7,9.5,0.221
SOSC 14300,(s)  Kerry Le Doux,17,7,10.0,0.257
SOSC 13310,(s)  Zhaotian Luo,18,10,6.88,0.206
SOSC 12400,(s),17,8,8.21,0.164
SOSC 14200,(s) Margaret Fulcher,19,14,3.21,0.259
SOSC 17200,(s) Olivia Bustion,15,9,5.83,0.231
SOSC 12400,(s),18,5,6.5,0.168
SOSC 15200,(s) Julia Brown,16,13,5.58,0.191
SOSC 17300,(s)  Derek Buyan,19,13,7.88,0.189
SOSC 11600,(s)  Daniel Burnfin,13,7,9.17,0.177
SOSC 11600,(s)  Ryan Allen,12,8,13.75,0.216
SOSC 18400,(s) Andrew,16,9,9.17,0.15
SOSC 11600,(s)  Laura Martin,5,3,9.17,0.217
SOSC 13300,(s),18,10,6.0,0.163
SOSC 16300,(s)  Dylan,17,8,8.12,0.197
SOSC 12500,(s),19,9,8.33,0.166
SOSC 11400,"(s) Benjamin Lessing, Isaac Hand",14,8,15.0,0.194
SOSC 12500,(s),19,12,6.67,0.27
SOSC 12600,(s),19,7,5.83,0.219
SOSC 12400,(s),N/A,N/A,N/A,0.075
SOSC 14200,(s) Duygu UygunTunc,19,8,4.38,0.194
SOSC 12600,(s),18,15,6.35,0.241
SOSC 17300,(s)  Matthew Harris,19,9,7.5,0.222
SOSC 17300,(s)  Russell Johnson,18,9,7.5,0.188
SOSC 11400,(s) Nicole Whalen,12,8,11.25,0.182
SOSC 16200,(s) Stephen,19,10,7.5,0.209
SOSC 16100,(s) Stephen,19,9,10.83,0.16
SOSC 12500,(s),19,8,6.79,0.215
SOSC 14200,(s) Frederica,19,11,5.68,0.238
SOSC 11400,(s) Nicholas O'Neill,16,9,10.0,0.143
SOSC 15300,(s)  William Levine,19,6,6.67,0.267
SOSC 15100,(s) Joshua Trubowitz,17,12,7.92,0.244
SOSC 14300,(s)  Lin Bian,18,9,3.12,0.272
SOSC 17200,(s) Sarah Hammerschlag,20,10,7.5,0.252
SOSC 13200,(s),19,11,2.5,0.214
SOSC 12400,(s),17,9,6.79,0.197
SOSC 11500,(s) James Vaughn,19,11,9.32,0.215
SOSC 12600,(s),20,8,5.36,0.277
SOSC 13100,(s),17,9,6.25,0.16
SOSC 14300,(s)  Katherine,19,8,6.25,0.276
SOSC 11600,(s)  Isaac Hand,8,6,7.5,0.197
SOSC 12500,(s),19,8,6.07,0.191
SOSC 18400,(s) Andrew,18,12,6.67,0.252
SOSC 12500,(s),15,4,7.5,0.165
SOSC 14100,(s) Susan Goldin,19,15,4.72,0.244
SOSC 17100,(s) William Mazzarella,18,12,8.5,0.217
SOSC 15200,(s) John Martin,15,7,7.5,0.269
SOSC 12400,(s),18,8,7.5,0.124
SOSC 16100,(s) Salih Noor,17,12,8.86,0.163
SOSC 14300,(s)  Lydia Emery,19,8,3.21,0.224
