 Building Name,Address,Latitude,Longitude,General Notes
Arley D Cathey Dining Commons,"6025 S Ellis Ave, Chicago, IL 60637",41.78530807,-87.60038752,
Baker Dining Hall,"5501 S University Ave, Chicago, IL 60637",41.79460805,-87.59853524,
Bartlett Dining Hall,"Bartlett Dining Commons, Chicago, IL 60637",41.79209186,-87.59825325,
Cafe 53,"1369 E 53rd St, Chicago, IL 60615",41.79950073,-87.59241523,
Campus North Dormitory,"5500 S University Ave, Chicago, IL 60637",41.79472825,-87.59839296,
Center for Environmental and Urban Studies,"5848 S University Ave, Chicago, IL 60637",41.78855296,-87.59816399,
Chicago Maroon Office,"Ida Noyes Hall, 1212 E 59th St, Chicago, IL 60637",41.78813297,-87.59560119,
Cobb Hall,"5811 S Ellis Ave, Chicago, IL 60637",41.78912416,-87.60087036,
Crerar Library,"5730 S Ellis Ave, Chicago, IL 60637",41.79065996,-87.60287546,
Harper Library,"1116 E 59th St, Chicago, IL 60637",41.78809116,-87.59963425,
Hutchinson Commons,"Hutchinson Commons, Chicago, IL 60637",41.79133035,-87.59865383,
Hutchinson Commons,"Hutchinson Commons, Chicago, IL 60637",41.79136235,-87.5987182,
Ida Noyes Hall,"Ida Noyes Hall, 1212 E 59th St, Chicago, IL 60637",41.78812697,-87.59559407,
International House,"1414 E 59th St, Chicago, IL 60637",41.78861562,-87.591124,
Logan Center for the Arts,"915 E 60th St, Chicago, IL 60637",41.78572927,-87.6038694,
Max P Central,"1101 E 56th St, Chicago, IL 60637",41.79309676,-87.59989302,Central
Max P East,"1101 E 56th St, Chicago, IL 60637",41.79309676,-87.59989302,East
Max P West,"1101 E 56th St, Chicago, IL 60637",41.79309676,-87.59989302,West
Medici,"1327-1331, 1327 E 57th St, Chicago, IL 60637",41.79135596,-87.59369253,
Philz Coffee,"1425 E 53rd St, Chicago, IL 60615",41.79996809,-87.59056214,
Quadrangle Club,"1155 E 57th St, Chicago, IL 60637",41.79106705,-87.5976016,
Ratner Athletic Center,"5530 S Ellis Ave, Chicago, IL 60637",41.79425466,-87.60161306,
Regenstein Library,"1100 E 57th St, Chicago, IL 60637",41.79238296,-87.60003983,
Renee Granville-Grossman Residential Commons,"6031 S Ellis Ave, Chicago, IL 60637",41.78472557,-87.60040261,
Saieh Hall,"5757 S University Ave, Chicago, IL 60637",41.79000616,-87.59728728,
SemCoOp,"5751 S Woodlawn Ave, Chicago, IL 60637",41.79024926,-87.59614453,
Snell-Hitchcock,"1009 E 57th St, Chicago, IL 60637",41.79122476,-87.6005054,
Starbucks (53rd),"1530 E 53rd St, Chicago, IL 60615",41.80031839,-87.58764545,
Starbucks (55th),"1174 E 55th St, Chicago, IL 60615",41.79592543,-87.59605769,
Stuart Hall,"5835 S Greenwood Ave, Chicago, IL 60637",41.78856856,-87.59904566,
The Study UChicago,"1227 E 60th St, Chicago, IL 60637",41.78609407,-87.59516549,
UChicago Institute of Politics,"5707 S Woodlawn Ave, Chicago, IL 60637",41.79135305,-87.59618759,
Woodlawn Dining Commons,"University of Chicago, 1156 E 61st St, Chicago, IL 60637",41.78490417,-87.59720576,
Woodlawn Residential Commons,"1156 E 61st St, Chicago, IL 60637",41.78445557,-87.5971699,
Booth School of Business,"5807 S Woodlawn Ave, Chicago, IL 60637",41.78994463,-87.59632936,
