Administration,Publication,Date of Event,Source,Link,Movement,Actor,Type of Action,Target of action,Admin Response,Notes,Include
Alivisatos,Maroon,5/20/2024,We’re Turning Our Backs to You! – Chicago Maroon,https://chicagomaroon.com/44383/viewpoints/letter/were-turning-our-backs-to-you/,Palestine,SJP,"Protest, Letter Writing",General,Arrest/punish,Suspended / mandatory leave of absense,1
Alivisatos,Maroon,4/30/2024,On Expression and Disruption – Chicago Maroon,https://chicagomaroon.com/42441/viewpoints/op-ed/on-expression-and-disruption/,Palestine,,Letter Writing,General,,,1
Alivisatos,Maroon,4/19/2024,How Little Does Palestinian Life Matter to the University of Chicago?,https://chicagomaroon.com/42119/viewpoints/op-ed/how-little-does-palestinian-life-matter-to-the-university-of-chicago/,Palestine,,Letter Writing,General,,,1
Alivisatos,Maroon,2/9/2024,Admin Is Trying to Silence Us for Speaking Up About Palestine. We Won’t Let That Happen. – Chicago Maroon,https://chicagomaroon.com/41424/viewpoints/letter/admin-is-trying-to-silence-us-for-speaking-up-about-palestine-we-wont-let-that-happen/,Palestine,,"Letter Writing, Protest",General,,,1
Alivisatos,Maroon,5/30/2022,The Maroon Editorial Board Should Endorse BDS,https://chicagomaroon.com/32717/viewpoints/column/maroon-editorial-board-endorse-bds/,Palestine,,Letter Writing,General,,,1
Zimmer,Maroon,10/17/2020,"To Achieve Genuine Sustainability, Let’s Get Strategic – Chicago Maroon",https://chicagomaroon.com/28049/viewpoints/column/achieve-genuine-sustainability-lets-get-strategic/,Fossil fuels,,Letter Writing,General,,,1
Zimmer,Maroon,3/6/2017,A Retort to the Kalven Report – Chicago Maroon,https://chicagomaroon.com/24077/viewpoints/column/retort-kalven-report/,Fossil fuels,,Letter Writing,General,,,1
Zimmer,Maroon,2/22/2016,Open Letter From Faculty Pushes Fossil Fuel Divestment – Chicago Maroon,https://chicagomaroon.com/21635/news/students-for-climate-change-releases-petition-to-divest-from-fossil-fuels/,Fossil fuels,UCAN,Letter Writing,General,Ignore/refuse,,1
Zimmer,Maroon,10/15/2015,Letter: UCAN demands that Trustees consider divestment – Chicago Maroon,https://chicagomaroon.com/20804/viewpoints/letter/letter-ucan-demands-that-trustees-consider-divestment/,Fossil fuels,UCAN,Letter Writing,General,,,1
Zimmer,Maroon,5/31/2013,“Ahistorical activism” flawed – Chicago Maroon,https://chicagomaroon.com/17451/viewpoints/op-ed/ahistorical-activism-flawed/,Palestine,,Letter Writing,General,,,1
Zimmer,Maroon,4/9/2013,Divest in the future – Chicago Maroon,https://chicagomaroon.com/16989/viewpoints/letter/divest-in-the-future/,Fossil fuels,,Letter Writing,General,,,1
Zimmer,Maroon,1/17/2013,Students push for climate-concious divestment – Chicago Maroon,https://chicagomaroon.com/16484/news/students-push-for-climate-concious-divestment/,Fossil fuels,UCAN,Letter Writing,President/Administration,Ignore/refuse,,1
Zimmer,Maroon,5/27/2011,Investing in dialogue – Chicago Maroon,https://chicagomaroon.com/4158/viewpoints/editorial/investing-in-dialogue/,General Transparency,,Letter Writing,,,,1
Zimmer,Maroon,5/24/2011,Lobbying for consistency – Chicago Maroon,https://chicagomaroon.com/7109/viewpoints/op-ed/lobbying-for-consistency/,General Transparency,,Letter Writing,,,,1
Zimmer,Maroon,4/22/2011,Freedom to disagree – Chicago Maroon,https://chicagomaroon.com/7268/viewpoints/op-ed/freedom-to-disagree/,General Transparency,,Letter Writing,,,,1
Zimmer,Maroon,10/15/2010,The University shouldn’t invest in morally suspect enterprises,https://chicagomaroon.com/13207/viewpoints/op-ed/investing-in-evil/,General Transparency,,Letter Writing,,,,1
Zimmer,Maroon,11/18/2008,Activists criticize University endowment investments – Chicago Maroon,https://chicagomaroon.com/2868/news/activists-criticize-university-endowment-investments/,Labor Rights,SOUL,Letter Writing,President/Administration,Ignore/refuse,,1
Zimmer,Maroon,4/15/2008,"Letter: On divestment, University not part of solution – Chicago Maroon",https://chicagomaroon.com/7709/viewpoints/letter/letter-on-divestment-university-not-part-of-solution/,Sudan,STAND,Letter Writing,,,"Harvard, Yale, 23 states, presidential candidates, federal government all divested",1
Zimmer,Maroon,10/2/2007,Activists must ask questions,https://chicagomaroon.com/10634/viewpoints/letter/activists-must-ask-questions/,Sudan,STAND,Letter Writing,General,,,1
Zimmer,Maroon,5/25/2007,Different ends need different means – Chicago Maroon,https://chicagomaroon.com/4039/viewpoints/op-ed/different-ends-need-different-means/,Sudan,,Letter Writing,General,,,1
Zimmer,Maroon,5/4/2007,"Genocide, divestment too urgent to ignore – Chicago Maroon",https://chicagomaroon.com/1442/viewpoints/op-ed/genocide-divestment-too-urgent-to-ignore/,Sudan,"Coalition for Immediate Divestment, STAND",Letter Writing,General,,,1
Zimmer,Maroon,2/20/2007,Divestment through history’s lens,https://chicagomaroon.com/3921/viewpoints/op-ed/divestment-through-historys-lens/,Sudan,STAND,Letter Writing,General,,Kalven report author supports Sudan divestment,1
Zimmer,Maroon,10/3/2006,Divestment does more than send a message,https://chicagomaroon.com/3147/viewpoints/op-ed/divestment-does-more-than-send-a-message/,Sudan,,Letter Writing,General,,,1
