ticker,percent,company,amt
NVDA,7.33,NVIDIA Corp.,2293703.6
MSFT,7.03,Microsoft Corp.,2199827.6
AAPL,5.83,Apple Inc.,1824323.5999999999
AMZN,3.94,Amazon.com Inc.,1232904.7999999998
META,3.05,Facebook Inc. Class A,954406.0
AVGO,2.47,Broadcom Inc.,772912.4000000001
GOOGL,1.95,Alphabet Inc. Class A,610194.0
BRK.B,1.69,Berkshire Hathaway Inc. Class B,528834.7999999999
TSLA,1.69,Tesla Inc.,528834.7999999999
GOOG,1.58,Alphabet Inc. Class C,494413.60000000003
JPM,1.51,JPMorgan Chase & Co.,472509.2
LLY,1.17,Eli Lilly & Co.,366116.39999999997
V,1.15,Visa Inc. Class A,359858.0
NFLX,1.08,Netflix Inc.,337953.60000000003
XOM,0.88,Exxon Mobil Corp.,275369.60000000003
MA,0.87,Mastercard Inc. Class A,272240.39999999997
COST,0.84,Costco Wholesale Corp.,262852.8
WMT,0.80,Walmart Inc.,250336.0
PG,0.71,Procter & Gamble Co.,222173.19999999998
JNJ,0.70,Johnson & Johnson,219043.99999999997
HD,0.69,Home Depot Inc.,215914.8
ORCL,0.68,Oracle Corp.,212785.6
ABBV,0.62,AbbVie Inc.,194010.4
BAC,0.56,Bank of America Corp.,175235.2
PLTR,0.55,Palantir Technologies Inc. Class A,172106.00000000003
PM,0.54,Philip Morris International Inc.,168976.80000000002
UNH,0.54,UnitedHealth Group Inc.,168976.80000000002
CSCO,0.53,Cisco Systems Inc.,165847.6
GE,0.52,General Electric Co.,162718.4
KO,0.52,Co.,162718.4
IBM,0.52,International Business Machines Corp.,162718.4
CRM,0.50,Inc.,156460.0
WFC,0.50,Wells Fargo & Co.,156460.0
ABT,0.45,Abbott Laboratories,140814.00000000003
CVX,0.44,Chevron Corp.,137684.80000000002
AMD,0.44,Advanced Micro Devices Inc.,137684.80000000002
DIS,0.42,Walt Disney Co.,131426.4
LIN,0.42,Linde plc,131426.4
INTU,0.42,Intuit Inc.,131426.4
NOW,0.40,ServiceNow Inc.,125168.0
MCD,0.40,McDonald's Corp.,125168.0
T,0.40,AT&T Inc.,125168.0
GS,0.39,Goldman Sachs Group Inc.,122038.8
MRK,0.38,Merck & Co. Inc.,118909.6
UBER,0.37,Uber Technologies Inc.,115780.40000000001
RTX,0.37,RTX Corp.,115780.40000000001
ISRG,0.37,Intuitive Surgical Inc.,115780.40000000001
TXN,0.36,Texas Instruments Inc.,112651.2
BKNG,0.36,Booking Holdings Inc.,112651.2
ACN,0.36,Accenture plc Class A,112651.2
CAT,0.35,Caterpillar Inc.,109521.99999999999
VZ,0.35,Verizon Communications Inc.,109521.99999999999
PEP,0.34,PepsiCo Inc.,106392.8
AXP,0.34,American Express Co.,106392.8
QCOM,0.33,QUALCOMM Inc.,103263.6
MS,0.33,Morgan Stanley,103263.6
SPGI,0.31,S&P Global Inc.,97005.2
ADBE,0.31,Adobe Inc.,97005.2
BSX,0.30,Boston Scientific Corp.,93876.0
BA,0.30,Boeing Co.,93876.0
PGR,0.30,Progressive Corp.,93876.0
SCHW,0.30,Charles Schwab Corp.,93876.0
TMO,0.29,Thermo Fisher Scientific Inc.,90746.79999999999
BLK,0.29,Blackrock Inc.,90746.79999999999
AMGN,0.29,Amgen Inc.,90746.79999999999
HON,0.28,Honeywell International Inc.,87617.6
AMAT,0.28,Applied Materials Inc.,87617.6
C,0.28,Citigroup Inc.,87617.6
GEV,0.27,GE Vernova LLC,84488.40000000001
