ticker,percent,company,amt
NVDA,3.83,NVIDIA Corp.,1240651.9
MSFT,3.82,Microsoft Corp.,1237412.5999999999
AAPL,3.13,Apple Inc.,1013900.9
AMZN,2.18,Amazon.com Inc.,706167.4
META,1.67,Facebook Inc. Class A,540963.1
AVGO,1.32,Broadcom Inc.,427587.6
GOOGL,1.06,Alphabet Inc. Class A,343365.8
TSLA,0.92,Tesla Inc.,298015.6
2330,0.92,Taiwan Semiconductor Manufacturing Co. Ltd.,298015.6
GOOG,0.87,Alphabet Inc. Class C,281819.1
JPM,0.83,JPMorgan Chase & Co.,268861.9
BRK.B,0.79,Berkshire Hathaway Inc. Class B,255904.7
LLY,0.65,Eli Lilly & Co.,210554.50000000003
V,0.63,Visa Inc. Class A,204075.9
NFLX,0.59,Netflix Inc.,191118.69999999998
XOM,0.48,Exxon Mobil Corp.,155486.4
MA,0.47,Mastercard Inc. Class A,152247.09999999998
COST,0.45,Costco Wholesale Corp.,145768.50000000003
WMT,0.44,Walmart Inc.,142529.2
700,0.41,Tencent Holdings Ltd.,132811.3
PG,0.39,Procter & Gamble Co.,126332.70000000001
JNJ,0.38,Johnson & Johnson,123093.4
HD,0.38,Home Depot Inc.,123093.4
ORCL,0.37,Oracle Corp.,119854.1
ABBV,0.34,AbbVie Inc.,110136.20000000001
BAC,0.34,Bank of America Corp.,110136.20000000001
ASML,0.33,ASML Holding NV,106896.9
SAP,0.33,SAP SE,106896.9
PLTR,0.31,Palantir Technologies Inc. Class A,100418.3
UNH,0.29,UnitedHealth Group Inc.,93939.7
PM,0.29,Philip Morris International Inc.,93939.7
CSCO,0.28,Cisco Systems Inc.,90700.40000000001
KO,0.28,Co.,90700.40000000001
IBM,0.28,International Business Machines Corp.,90700.40000000001
GE,0.28,General Electric Co.,90700.40000000001
WFC,0.27,Wells Fargo & Co.,87461.1
CRM,0.26,Inc.,84221.8
9988,0.26,Alibaba Group Holding Ltd.,84221.8
NESN,0.26,Nestle SA,84221.8
ABT,0.24,Abbott Laboratories,77743.2
CVX,0.24,Chevron Corp.,77743.2
AMD,0.24,Advanced Micro Devices Inc.,77743.2
NOVN,0.24,Novartis AG,77743.2
DIS,0.23,Walt Disney Co.,74503.9
NOVO,0.23,B Novo Nordisk A/S Class B,74503.9
LIN,0.23,Linde plc,74503.9
GS,0.22,Goldman Sachs Group Inc.,71264.6
INTU,0.22,Intuit Inc.,71264.6
HSBA,0.22,HSBC Holdings plc,71264.6
