ticker,percent,company,amt
IMO,0.01,Imperial Oil Ltd.,3239.3
TRN,0.01,"Terna - Rete Elettrica Nazionale — B01BN57 0.01 % 976,920 $9,914,260",3239.3
GGG,0.01,Graco Inc.,3239.3
9101,0.01,Nippon Yusen KK —,3239.3
ITT,0.01,ITT Inc.,3239.3
POWERGRID,0.01,"Power Grid Corp. of India Ltd. — B233HS6 0.01 % 3,132,459 $9,882,716",3239.3
BALL,0.01,Ball Corp.,3239.3
DPZ,0.01,Domino's Pizza Inc.,3239.3
COO,0.01,Cooper Cos. Inc.,3239.3
1928,0.01,Sekisui House Ltd. J,3239.3
TENAGA,0.01,Tenaga Nasional Bhd. —,3239.3
ENTG,0.01,Entegris Inc.,3239.3
9503,0.01,Kansai Electric Power Co. Inc. —,3239.3
3231,0.01,Wistron Corp. —,3239.3
CEMEXCPO,0.01,Cemex SAB de CV —,3239.3
MTN,0.01,MTN Group Ltd. —,3239.3
PKN,0.01,ORLEN SA —,3239.3
SCG,0.01,"Scentre Group — BLZH0Z7 0.01 % 3,598,002 $9,705,165",3239.3
TITAN,0.01,Titan Co. Ltd. —,3239.3
7733,0.01,Olympus Corp. —,3239.3
WRT1V,0.01,Wartsila OYJ Abp X,3239.3
SOON,0.01,Sonova Holding AG —,3239.3
9766,0.01,Konami Group Corp. —,3239.3
NBIX,0.01,Neurocrine Biosciences Inc.,3239.3
TOL,0.01,Toll Brothers Inc.,3239.3
ICLR,0.01,"ICON plc G4705A100 B94G471 0.01 % 54,523 $9,541,525",3239.3
ESLT,0.01,Elbit Systems Ltd. —,3239.3
MRU,0.01,Metro Inc./CN,3239.3
INCY,0.01,Incyte Corp.,3239.3
823,0.01,"Link REIT — B0PB4M7 0.01 % 1,841,488 $9,461,54",3239.3
ITC,0.01,"ITC Ltd. Y4211T171 B0JGGP5 0.01 % 2,090,070 $9,447,938",3239.3
RPRX,0.01,"Royalty Pharma plc Class A G7709Q104 BMVP7Y0 0.01 % 267,280 $9,429,638",3239.3
FBK,0.01,"FinecoBank Banca Fineco SPA — BNGN9Z1 0.01 % 433,620 $9,411,138",3239.3
Z,0.01,Zillow Group Inc.,3239.3
4507,0.01,Shionogi & Co. Ltd. —,3239.3
MONC,0.01,"Moncler SPA — BGLP232 0.01 % 159,147 $9,366,337",3239.3
DOC,0.01,Healthpeak Properties Inc.,3239.3
RGLD,0.01,Royal Gold Inc.,3239.3
KOG,0.01,"o Kongsberg Gruppen ASA — BSTRB82 0.01 % 292,405 $9,344,481",3239.3
9866,0.01,"NIO Inc. Class A — BPR9XV6 0.01 % 1,234,787 $9,338,954",3239.3
COOP,0.01,Mr Cooper Group Inc.,3239.3
B3SA3,0.01,"B3 SA - Brasil Bolsa Balcao — BG36ZK1 0.01 % 3,695,021 $9,303,07",3239.3
BLDR,0.01,Builders FirstSource Inc.,3239.3
UNM,0.01,Unum Group,3239.3
5490,0.01,,3239.3
2,0.01,CLP Holdings Ltd. Y1660Q104,3239.3
MTZ,0.01,MasTec Inc.,3239.3
ENX,0.01,"Euronext NV — BNBNSG0 0.01 % 61,188 $9,160,548",3239.3
REG,0.01,Regency Centers Corp.,3239.3
FN,0.01,"Fabrinet G3323L100 B4JSZL8 0.01 % 25,025 $9,124,616",3239.3
2082,0.01,"ACWA Power Co. — BM8SKZ4 0.01 % 159,278 $9,097,61",3239.3
ROKU,0.01,Roku Inc.,3239.3
9540,0.01,,3239.3
35720,0.01,,3239.3
LECO,0.01,Lincoln Electric Holdings Inc.,3239.3
196170,0.01,,3239.3
HEI.A,0.01,HEICO Corp. Class A,3239.3
AVY,0.01,Avery Dennison Corp.,3239.3
207940,0.01,,3239.3
SNX,0.01,SYNNEX Corp.,3239.3
TW,0.01,Tradeweb Markets Inc. Class A,3239.3
