ticker,percent
JPM,1.51
LLY,1.17
V,1.15
NFLX,1.08
XOM,0.88
MA,0.87
COST,0.84
WMT,0.80
PG,0.71
JNJ,0.70
HD,0.69
ORCL,0.68
ABBV,0.62
BAC,0.56
PLTR,0.55
PM,0.54
UNH,0.54
CSCO,0.53
GE,0.52
KO,0.52
MCD,0.40
T,0.40
GS,0.39
MRK,0.38
UBER,0.37
RTX,0.37
ISRG,0.37
TXN,0.36
BKNG,0.36
ACN,0.36
CAT,0.35
VZ,0.35
PEP,0.34
AXP,0.34
QCOM,0.33
MS,0.33
SPGI,0.31
ADBE,0.31
BSX,0.30
BA,0.30
PGR,0.30
SCHW,0.30
TMO,0.29
BLK,0.29
AMGN,0.29
HON,0.28
AMAT,0.28
C,0.28
GEV,0.27
NEE,0.27
ETN,0.27
GILD,0.26
TJX,0.26
PFE,0.26
MU,0.26
UNP,0.26
COF,0.26
SYK,0.26
PANW,0.26
CMCSA,0.25
DE,0.24
CRWD,0.24
DHR,0.24
ADP,0.24
LRCX,0.24
LOW,0.24
APH,0.23
KLAC,0.23
ADI,0.22
VRTX,0.22
TMUS,0.22
COP,0.22
MDT,0.21
BX,0.21
CB,0.21
MMC,0.20
ANET,0.20
ICE,0.20
SBUX,0.20
AMT,0.20
BMY,0.18
DUK,0.17
MCK,0.17
KKR,0.17
PH,0.17
CI,0.17
ELV,0.17
MDLZ,0.17
CVS,0.17
TDG,0.16
DASH,0.16
CDNS,0.16
WM,0.16
NKE,0.16
AJG,0.16
MMM,0.16
SNPS,0.15
SHW,0.15
RCL,0.15
EQIX,0.15
MCO,0.15
AON,0.15
ORLY,0.15
WMB,0.15
CTAS,0.15
CMG,0.14
HWM,0.14
EMR,0.14
COIN,0.14
UPS,0.14
PNC,0.14
CL,0.14
GD,0.14
PYPL,0.14
USB,0.13
MSI,0.13
JCI,0.13
ZTS,0.13
ECL,0.13
NOC,0.13
FTNT,0.13
HCA,0.13
ADSK,0.13
ITW,0.13
VST,0.13
EOG,0.12
BK,0.12
NEM,0.12
APO,0.12
HLT,0.12
APD,0.12
FCX,0.12
MAR,0.12
AZO,0.12
CSX,0.12
AXON,0.12
ROP,0.12
TRV,0.12
CARR,0.11
NSC,0.11
ABNB,0.11
KMI,0.11
TFC,0.11
PWR,0.11
AEP,0.11
NXPI,0.11
DLR,0.11
REGN,0.10
ALL,0.10
O,0.10
WDAY,0.10
COR,0.10
AFL,0.10
MPC,0.10
OKE,0.10
CTVA,0.10
AMP,0.10
FDX,0.10
RSG,0.10
TEL,0.10
SRE,0.09
BDX,0.09
SPG,0.09
AIG,0.09
PCAR,0.09
URI,0.09
PSX,0.09
D,0.09
FAST,0.09
GM,0.09
LHX,0.09
PAYX,0.09
PSA,0.09
SLB,0.09
EW,0.09
GWW,0.09
MET,0.09
CMI,0.09
KDP,0.09
TGT,0.09
CCI,0.09
MSCI,0.08
FICO,0.08
MNST,0.08
EXC,0.08
VRSK,0.08
IDXX,0.08
CPRT,0.08
FIS,0.08
KMB,0.08
VLO,0.08
PEG,0.08
ROST,0.08
F,0.08
AME,0.08
KR,0.08
YUM,0.08
CBRE,0.08
TTWO,0.08
GLW,0.08
KVUE,0.08
CAH,0.08
XEL,0.07
OTIS,0.07
CHTR,0.07
CTSH,0.07
HES,0.07
PRU,0.07
BKR,0.07
MCHP,0.07
RMD,0.07
TRGP,0.07
ROK,0.07
ETR,0.07
NDAQ,0.07
SYY,0.07
DELL,0.07
EA,0.07
ED,0.07
HIG,0.07
WAB,0.07
DHI,0.07
MPWR,0.07
EQT,0.07
VMC,0.07
EBAY,0.07
DXCM,0.07
ACGL,0.06
CSGP,0.06
GEHC,0.06
A,0.06
IR,0.06
WEC,0.06
MLM,0.06
EFX,0.06
GRMN,0.06
DAL,0.06
XYL,0.06
VICI,0.06
NRG,0.06
EXR,0.06
MTB,0.06
IT,0.06
BRO,0.06
ANSS,0.06
PCG,0.06
STX,0.06
STT,0.06
IRM,0.06
ODFL,0.06
NUE,0.06
OXY,0.06
CCL,0.06
HUM,0.06
WTW,0.06
AVB,0.06
DD,0.05
BR,0.05
VTR,0.05
GIS,0.05
KEYS,0.05
TSCO,0.05
RJF,0.05
DTE,0.05
FITB,0.05
AWK,0.05
CNC,0.05
HPE,0.05
LULU,0.05
UAL,0.05
AEE,0.05
IQV,0.05
PPG,0.05
WBD,0.05
FANG,0.05
LEN,0.05
GDDY,0.05
TYL,0.05
DRI,0.05
SYF,0.05
ADM,0.05
EXE,0.05
SBAC,0.05
SMCI,0.05
DG,0.05
DOV,0.05
PPL,0.05
VLTO,0.05
STZ,0.05
IP,0.05
NTRS,0.05
HSY,0.05
ATO,0.05
HBAN,0.05
CBOE,0.05
MTD,0.05
TDY,0.05
CNP,0.05
LYV,0.05
CHD,0.05
STE,0.04
CDW,0.04
JBL,0.04
CPAY,0.04
ES,0.04
VRSN,0.04
CINF,0.04
EQR,0.04
HPQ,0.04
WDC,0.04
KHC,0.04
PODD,0.04
WRB,0.04
LH,0.04
ON,0.04
HUBB,0.04
NVR,0.04
SW,0.04
K,0.04
NTAP,0.04
TROW,0.04
RF,0.04
PHM,0.04
ULTA,0.04
AMCR,0.04
WAT,0.04
CMS,0.04
FE,0.04
PTC,0.04
EXPE,0.04
DVN,0.04
LDOS,0.04
WSM,0.04
DGX,0.04
TPL,0.04
EIX,0.04
DLTR,0.04
CFG,0.04
CTRA,0.04
MKC,0.04
NI,0.04
EL,0.04
IFF,0.04
DOW,0.04
INVH,0.04
WY,0.04
LUV,0.04
BIIB,0.04
LII,0.03
TPR,0.03
ESS,0.03
TRMB,0.03
ZBH,0.03
FSLR,0.03
FTV,0.03
STLD,0.03
HAL,0.03
MAA,0.03
KEY,0.03
FDS,0.03
FFIV,0.03
PNR,0.03
GPC,0.03
PKG,0.03
PFG,0.03
SNA,0.03
MOH,0.03
GEN,0.03
TSN,0.03
L,0.03
EVRG,0.03
ROL,0.03
J,0.03
WST,0.03
ZBRA,0.03
EXPD,0.03
DECK,0.03
BALL,0.03
BAX,0.03
LNT,0.03
DPZ,0.03
CF,0.03
LYB,0.03
APTV,0.03
CLX,0.03
LVS,0.03
GPN,0.03
HOLX,0.03
TXT,0.03
EG,0.03
TER,0.03
COO,0.03
KIM,0.03
OMC,0.03
AVY,0.03
MAS,0.03
IEX,0.03
JNPR,0.03
JKHY,0.02
BBY,0.02
ALGN,0.02
BLDR,0.02
ALLE,0.02
UDR,0.02
TKO,0.02
DOC,0.02
FOXA,0.02
CPT,0.02
AKAM,0.02
REG,0.02
NDSN,0.02
MOS,0.02
RVTY,0.02
NWSA,0.02
CHRW,0.02
JBHT,0.02
SWKS,0.02
ARE,0.02
POOL,0.02
INCY,0.02
RL,0.02
PAYC,0.02
BG,0.02
PNW,0.02
HST,0.02
SOLV,0.02
SWK,0.02
VTRS,0.02
SJM,0.02
UHS,0.02
GL,0.02
KMX,0.02
EPAM,0.02
AIZ,0.02
BXP,0.02
CAG,0.02
HAS,0.02
LKQ,0.02
HII,0.02
MRNA,0.02
NCLH,0.02
IPG,0.02
HSIC,0.02
DAY,0.02
HRL,0.02
ERIE,0.02
EMN,0.02
GNRC,0.02
MKTX,0.02
WYNN,0.02
WBA,0.02
TAP,0.02
TECH,0.02
PARA,0.01
AOS,0.01
MTCH,0.01
AES,0.01
CRL,0.01
BEN,0.01
FRT,0.01
ALB,0.01
LW,0.01
MGM,0.01
IVZ,0.01
FOX,0.01
APA,0.01
CPB,0.01
DVA,0.01
CZR,0.01
MHK,0.01
