Issuer,Class,Cusip,Value,SharesPrnAmount,Type,PutCall,InvestmentDiscretion,SoleVoting,SharedVoting,NonVoting,Ticker,Date
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,31292,60891,Shares,"",SOLE,60891,0,0,VOO,2025-03-31
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,32393,279374,Shares,"",SOLE,279374,0,0,VT,2025-03-31
PYXIS ONCOLOGY INC,COM,747324101,47,48731,Shares,"",SOLE,48731,0,0,PYXS,2025-03-31
NKGEN BIOTECH INC,COM,65488A101,58,325000,Shares,"",SOLE,325000,0,0,NKGN,2025-03-31
SERVICE CORP INTL,COM,817565104,260,3250,Shares,"",SOLE,3250,0,0,SCI,2025-03-31
PALO ALTO NETWORKS INC,COM,697435105,266,1560,Shares,"",SOLE,1560,0,0,PANW,2025-03-31
OLD DOMINION FREIGHT LIN,COM,679580100,248,1500,Shares,"",SOLE,1500,0,0,ODFL,2025-03-31
EAGLE MATLS INC,COM,26969P108,221,1000,Shares,"",SOLE,1000,0,0,EXP,2025-03-31
FERRARI N V NEW F,COM,N3167Y103,320,750,Shares,"",SOLE,750,0,0,RACE,2025-03-31
S&P GLOBAL INC,COM,78409V104,330,650,Shares,"",SOLE,650,0,0,SPGI,2025-03-31
UNITEDHEALTH GROUP INC,COM,91324P102,261,500,Shares,"",SOLE,500,0,0,UNH,2025-03-31
BOOKING HLDGS INC,COM,09857L108,336,73,Shares,"",SOLE,73,0,0,BKNG,2025-03-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,32808,60891,Shares,"",SOLE,60891,0,0,VOO,2024-12-31
VANGUARD BD INDEX FDS TOTAL BND MRKT,TOTAL BND MRKT,921937835,39754,552830,Shares,"",SOLE,552830,0,0,BND,2024-12-31
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,33534,285449,Shares,"",SOLE,285449,0,0,VT,2024-12-31
PYXIS ONCOLOGY INC,COMMON STOCK,747324101,76,48731,Shares,"",SOLE,48731,0,0,PYXS,2024-12-31
NKGEN BIOTECH INC,COM,65488A101,360,550000,Shares,"",SOLE,550000,0,0,NKGN,2024-12-31
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,36211,68413,Shares,"",SOLE,68413,0,0,VOO,2024-09-30
