,Year,chicago_totals,brown_totals,columbia_totals,MIT_totals,northwestern_totals,princeton_totals,stanford_totals,upenn_totals
0,1998,240000.0,,690000.0,310743.0,400000.0,,280000.0,360000.0
1,1999,160000.0,,900000.0,279702.0,400000.0,,240000.0,380000.0
2,2000,160000.0,,2170000.0,214622.0,440000.0,,220000.0,460000.0
3,2001,160000.0,100000.0,1130000.0,258583.0,440000.0,,220000.0,400000.0
4,2002,160000.0,170000.0,664000.0,253365.0,340000.0,,300000.0,380000.0
5,2003,160000.0,170000.0,380000.0,257953.0,240000.0,,320000.0,260000.0
6,2004,160000.0,160000.0,402500.0,207474.0,180000.0,,340000.0,160000.0
7,2005,160000.0,120000.0,560000.0,245168.0,421467.0,0.0,390000.0,320000.0
8,2006,800000.0,20000.0,380000.0,191964.0,800000.0,120000.0,420000.0,500000.0
9,2007,780000.0,0.0,320000.0,271456.0,800000.0,200000.0,400000.0,387485.0
10,2008,99635.0,186707.0,222364.0,343662.0,736000.0,300000.0,390000.0,333822.0
11,2009,247676.0,10000.0,320000.0,257893.0,520000.0,230000.0,335000.0,586954.0
12,2010,167440.0,182050.0,155080.0,215786.0,550000.0,420000.0,370000.0,623503.0
13,2011,200870.0,107152.0,174465.0,253346.0,594000.0,370000.0,410000.0,524491.0
14,2012,220626.0,36253.0,107881.0,167035.0,581000.0,240000.0,390000.0,677738.0
15,2013,223704.0,28678.0,214338.0,161177.0,642000.0,280000.0,330000.0,785620.0
16,2014,369223.0,0.0,301474.0,158333.0,691000.0,280000.0,250000.0,850000.0
17,2015,311281.0,6518.0,350000.0,203099.0,717000.0,250000.0,270000.0,680000.0
18,2016,176531.0,15174.0,240000.0,149257.0,614513.0,380000.0,250000.0,680000.0
19,2017,203080.0,54787.0,270000.0,130071.0,681066.0,450000.0,340000.0,690000.0
20,2018,177207.0,110000.0,240000.0,144406.0,664000.0,380000.0,350000.0,722000.0
21,2019,189012.0,190000.0,230000.0,146163.0,563000.0,520000.0,360000.0,744000.0
22,2020,183214.0,150000.0,160000.0,133727.0,418000.0,360000.0,370000.0,630000.0
23,2021,149510.0,140000.0,160000.0,130100.0,429000.0,400000.0,350000.0,605000.0
24,2022,235947.0,200000.0,170000.0,127632.0,399000.0,430000.0,360000.0,460000.0
25,2023,300281.0,220000.0,220000.0,91526.0,406000.0,490000.0,310000.0,415000.0
26,2024,225272.0,280000.0,590000.0,130340.0,1022980.0,460000.0,440000.0,640000.0
