is_uchicago,year,share_degrees
University of Chicago,2005,0.2863813229571984
University of Chicago,2006,0.25806451612903225
University of Chicago,2007,0.2580877066858375
University of Chicago,2008,0.28601546029515107
University of Chicago,2009,0.2626193724420191
University of Chicago,2010,0.2784368457780879
University of Chicago,2011,0.27835723598435463
University of Chicago,2012,0.2902571041948579
University of Chicago,2013,0.28562421185372006
University of Chicago,2014,0.24554341575618172
University of Chicago,2015,0.2694394213381555
University of Chicago,2016,0.25591397849462366
University of Chicago,2017,0.22633979475484606
University of Chicago,2018,0.24527252502780866
University of Chicago,2019,0.2208498023715415
University of Chicago,2020,0.21261798310978638
University of Chicago,2021,0.21451687471104947
University of Chicago,2022,0.2045360824742268
University of Chicago,2023,0.18657033574160645
University of Chicago,2024,0.18331503841931943
Other Ivy Plus,2005,0.19927101596382762
Other Ivy Plus,2006,0.2027952610144391
Other Ivy Plus,2007,0.19693694522375016
Other Ivy Plus,2008,0.1967818887693531
Other Ivy Plus,2009,0.1906440243511695
Other Ivy Plus,2010,0.18148967884728306
Other Ivy Plus,2011,0.18619256314101115
Other Ivy Plus,2012,0.183133688904433
Other Ivy Plus,2013,0.1790580503833516
Other Ivy Plus,2014,0.16992204607164754
Other Ivy Plus,2015,0.1601146779027844
Other Ivy Plus,2016,0.15841291303980393
Other Ivy Plus,2017,0.15555462955246271
Other Ivy Plus,2018,0.1568966226500473
Other Ivy Plus,2019,0.1523844853880714
Other Ivy Plus,2020,0.15847571121301895
Other Ivy Plus,2021,0.16184796231470677
Other Ivy Plus,2022,0.15409849680259113
Other Ivy Plus,2023,0.14939643838890881
Other Ivy Plus,2024,0.14937473708363608
