is_uchicago,year,share_students
Other Ivy Plus,2005,0.1799193464998449
Other Ivy Plus,2006,0.1857075938166866
Other Ivy Plus,2007,0.18284308701445115
Other Ivy Plus,2008,0.1884947466971809
Other Ivy Plus,2009,0.19093214636923556
Other Ivy Plus,2010,0.1879985773080636
Other Ivy Plus,2011,0.19446579554189086
Other Ivy Plus,2012,0.18787211687596939
Other Ivy Plus,2013,0.18634005188585112
Other Ivy Plus,2014,0.1811039283938339
Other Ivy Plus,2015,0.18780332369233785
Other Ivy Plus,2016,0.1868163638991953
Other Ivy Plus,2017,0.1890544808527438
Other Ivy Plus,2018,0.18728572827896953
Other Ivy Plus,2019,0.18131214615348018
Other Ivy Plus,2020,0.18080007592654107
Other Ivy Plus,2021,0.17301547045396906
Other Ivy Plus,2022,0.1813572542901716
Other Ivy Plus,2023,0.17207052146811183
Other Ivy Plus,2024,0.16706294020008075
University of Chicago,2005,0.2248134328358209
University of Chicago,2006,0.21846435100548445
University of Chicago,2007,0.20224719101123595
University of Chicago,2008,0.1780590717299578
University of Chicago,2009,0.21292460646230324
University of Chicago,2010,0.21588089330024815
University of Chicago,2011,0.2346456692913386
University of Chicago,2012,0.2109500805152979
University of Chicago,2013,0.20579029733959311
University of Chicago,2014,0.23104693140794225
University of Chicago,2015,0.248868778280543
University of Chicago,2016,0.2525597269624573
University of Chicago,2017,0.2619899785254116
University of Chicago,2018,0.24664310954063604
University of Chicago,2019,0.2657894736842105
University of Chicago,2020,0.2770137524557957
University of Chicago,2021,0.30745147150907953
University of Chicago,2022,0.3631156930126002
University of Chicago,2023,0.36826524570751923
University of Chicago,2024,0.35202492211838005
University of Chicago,2025,0.41
