is_uchicago,year,share_students
University of Chicago,2005,0.28824626865671643
University of Chicago,2006,0.3190127970749543
University of Chicago,2007,0.3146067415730337
University of Chicago,2008,0.3139240506329114
University of Chicago,2009,0.323943661971831
University of Chicago,2010,0.28866832092638545
University of Chicago,2011,0.26535433070866143
University of Chicago,2012,0.2673107890499195
University of Chicago,2013,0.2605633802816901
University of Chicago,2014,0.27292418772563176
University of Chicago,2015,0.2579185520361991
University of Chicago,2016,0.24914675767918087
University of Chicago,2017,0.2211882605583393
University of Chicago,2018,0.2530035335689046
University of Chicago,2019,0.2743421052631579
University of Chicago,2020,0.2554027504911591
University of Chicago,2021,0.2604884157795867
University of Chicago,2022,0.23596792668957617
University of Chicago,2023,0.22261693309650682
University of Chicago,2024,0.21910695742471442
Other Ivy Plus,2005,0.24108158411746458
Other Ivy Plus,2006,0.24410555353146307
Other Ivy Plus,2007,0.22399303064466536
Other Ivy Plus,2008,0.21257671902631853
Other Ivy Plus,2009,0.21634490968376377
Other Ivy Plus,2010,0.2232610131599004
Other Ivy Plus,2011,0.20758390981296437
Other Ivy Plus,2012,0.20118076749887426
Other Ivy Plus,2013,0.18938335661544603
Other Ivy Plus,2014,0.17936350074589757
Other Ivy Plus,2015,0.16437080249031816
Other Ivy Plus,2016,0.1551582903676577
Other Ivy Plus,2017,0.16620607974733517
Other Ivy Plus,2018,0.17107454207072192
Other Ivy Plus,2019,0.1566677767733955
Other Ivy Plus,2020,0.15588667963745076
Other Ivy Plus,2021,0.14958153690083692
Other Ivy Plus,2022,0.1482546801872075
Other Ivy Plus,2023,0.14574126622319394
Other Ivy Plus,2024,0.14028083082858553
