is_uchicago,year,share_students
University of Chicago,2005,0.34328358208955223
University of Chicago,2006,0.3071297989031079
University of Chicago,2007,0.31028522039757994
University of Chicago,2008,0.3434599156118143
University of Chicago,2009,0.31897265948632975
University of Chicago,2010,0.33002481389578164
University of Chicago,2011,0.3362204724409449
University of Chicago,2012,0.34541062801932365
University of Chicago,2013,0.3544600938967136
University of Chicago,2014,0.3083032490974729
University of Chicago,2015,0.33710407239819007
University of Chicago,2016,0.3249146757679181
University of Chicago,2017,0.28418038654259126
University of Chicago,2018,0.311660777385159
University of Chicago,2019,0.29407894736842105
University of Chicago,2020,0.28028814669286184
University of Chicago,2021,0.2905447714464621
University of Chicago,2022,0.284077892325315
University of Chicago,2023,0.2599171107164002
University of Chicago,2024,0.2601246105919003
Other Ivy Plus,2005,0.22329645331403164
Other Ivy Plus,2006,0.22807474106074013
Other Ivy Plus,2007,0.21943220252126677
Other Ivy Plus,2008,0.21881826693019868
Other Ivy Plus,2009,0.21556855235236272
Other Ivy Plus,2010,0.2041562928712972
Other Ivy Plus,2011,0.21117089418396107
Other Ivy Plus,2012,0.20958623105018262
Other Ivy Plus,2013,0.2039014168828577
Other Ivy Plus,2014,0.19293883639980108
Other Ivy Plus,2015,0.18069513211431934
Other Ivy Plus,2016,0.1806485809280586
Other Ivy Plus,2017,0.18421831819976311
Other Ivy Plus,2018,0.1867959643451856
Other Ivy Plus,2019,0.17588848184975497
Other Ivy Plus,2020,0.18530821430266217
Other Ivy Plus,2021,0.18995688562008622
Other Ivy Plus,2022,0.18091848673946959
Other Ivy Plus,2023,0.17444294552728287
Other Ivy Plus,2024,0.17522767036023507
