year,classification,share_students
2005,Economics,0.2248134328358209
2005,Humanities and arts,0.28824626865671643
2006,Economics,0.21846435100548445
2006,Humanities and arts,0.3190127970749543
2007,Economics,0.20224719101123595
2007,Humanities and arts,0.3146067415730337
2008,Economics,0.1780590717299578
2008,Humanities and arts,0.3139240506329114
2009,Economics,0.21292460646230324
2009,Humanities and arts,0.323943661971831
2010,Economics,0.21588089330024815
2010,Humanities and arts,0.28866832092638545
2011,Economics,0.2346456692913386
2011,Humanities and arts,0.26535433070866143
2012,Economics,0.2109500805152979
2012,Humanities and arts,0.2673107890499195
2013,Economics,0.20579029733959311
2013,Humanities and arts,0.2605633802816901
2014,Economics,0.23104693140794225
2014,Humanities and arts,0.27292418772563176
2015,Economics,0.248868778280543
2015,Humanities and arts,0.2579185520361991
2016,Economics,0.2525597269624573
2016,Humanities and arts,0.24914675767918087
2017,Economics,0.2619899785254116
2017,Humanities and arts,0.2211882605583393
2018,Economics,0.24664310954063604
2018,Humanities and arts,0.2530035335689046
2019,Economics,0.2657894736842105
2019,Humanities and arts,0.2743421052631579
2020,Economics,0.2770137524557957
2020,Humanities and arts,0.2554027504911591
2021,Economics,0.30745147150907953
2021,Humanities and arts,0.2604884157795867
2022,Economics,0.3631156930126002
2022,Humanities and arts,0.23596792668957617
2023,Economics,0.36826524570751923
2023,Humanities and arts,0.22261693309650682
2024,Economics,0.35202492211838005
2024,Humanities and arts,0.21910695742471442
2025,Economics,0.41
