year,English,Political Science
2005,0.07182835820895522,0.10820895522388059
2006,0.07221206581352833,0.09323583180987204
2007,0.07605877268798616,0.09420916162489196
2008,0.06413502109704641,0.09451476793248945
2009,0.07290803645401822,0.09030654515327258
2010,0.06699751861042183,0.11331679073614558
2011,0.06299212598425197,0.11653543307086614
2012,0.07407407407407407,0.10547504025764895
2013,0.06651017214397496,0.11737089201877934
2014,0.06353790613718412,0.10108303249097472
2015,0.05279034690799397,0.09200603318250378
2016,0.05460750853242321,0.08600682593856655
2017,0.048675733715103794,0.0901932712956335
2018,0.04876325088339223,0.08480565371024736
2019,0.046052631578947366,0.07434210526315789
2020,0.038637851997380485,0.06941715782580223
2021,0.03318722604884158,0.06825297432686286
2022,0.030927835051546393,0.06242840778923253
2023,0.03137951450562463,0.06571936056838366
2024,0.028037383177570093,0.0529595015576324
