year,share_students
2005,0.028917910447761194
2006,0.04021937842778794
2007,0.03111495246326707
2008,0.04556962025316456
2009,0.04971002485501243
2010,0.04052936311000827
2011,0.048818897637795275
2012,0.03784219001610306
2013,0.03755868544600939
2014,0.04259927797833935
2015,0.043740573152337855
2016,0.03822525597269624
2017,0.03579098067287044
2018,0.038869257950530034
2019,0.05394736842105263
2020,0.045841519318926
2021,0.041953663118346904
2022,0.0441008018327606
2023,0.036116044997039666
2024,0.03686396677050883
