major_name,year,share_students
Political Science,2005,0.10820895522388059
Political Science,2006,0.09323583180987204
Political Science,2007,0.09420916162489196
Political Science,2008,0.09451476793248945
Political Science,2009,0.09030654515327258
Political Science,2010,0.11331679073614558
Political Science,2011,0.11653543307086614
Political Science,2012,0.10547504025764895
Political Science,2013,0.11737089201877934
Political Science,2014,0.10108303249097472
Political Science,2015,0.09200603318250378
Political Science,2016,0.08600682593856655
Political Science,2017,0.0901932712956335
Political Science,2018,0.08480565371024736
Political Science,2019,0.07434210526315789
Political Science,2020,0.06941715782580223
Political Science,2021,0.06825297432686286
Political Science,2022,0.06242840778923253
Political Science,2023,0.06571936056838366
Political Science,2024,0.0529595015576324
Anthropology,2005,0.03171641791044776
Anthropology,2006,0.04021937842778794
Anthropology,2007,0.03197925669835782
Anthropology,2008,0.03713080168776371
Anthropology,2009,0.033140016570008285
Anthropology,2010,0.03225806451612903
Anthropology,2011,0.03464566929133858
Anthropology,2012,0.04589371980676329
Anthropology,2013,0.032081377151799685
Anthropology,2014,0.01444043321299639
Anthropology,2015,0.02865761689291101
Anthropology,2016,0.019795221843003412
Anthropology,2017,0.015748031496062992
Anthropology,2018,0.015547703180212015
Anthropology,2019,0.017105263157894738
Anthropology,2020,0.01309757694826457
Anthropology,2021,0.01878522229179712
Anthropology,2022,0.018900343642611683
Anthropology,2023,0.016577856719952634
Anthropology,2024,0.016095534787123573
