year,cipcode,major_number,total,instnm,cip_code,humanities_discipline,classification,total_students,total_degrees
2005,03.0103,1,7,Yale University,Environmental Studies,NA,Other/Unknown,1291,1470
2005,04.0201,1,19,Yale University,Architecture,NA,Other/Unknown,1291,1470
2005,05.0101,1,6,Yale University,African Studies,Area Studies,Humanities,1291,1470
2005,05.0101,2,1,Yale University,African Studies,Area Studies,Humanities,1291,1470
2005,05.0102,1,33,Yale University,American/United States Studies/Civilization,Area Studies,Humanities,1291,1470
2005,05.0107,1,7,Yale University,Latin American Studies,Area Studies,Humanities,1291,1470
2005,05.0107,2,3,Yale University,Latin American Studies,Area Studies,Humanities,1291,1470
2005,05.0110,1,2,Yale University,Russian Studies,Area Studies,Humanities,1291,1470
2005,05.0123,1,2,Yale University,Chinese Studies,Area Studies,Humanities,1291,1470
2005,05.0123,2,1,Yale University,Chinese Studies,Area Studies,Humanities,1291,1470
2005,05.0125,1,0,Yale University,German Studies,Area Studies,Humanities,1291,1470
2005,05.0125,2,1,Yale University,German Studies,Area Studies,Humanities,1291,1470
2005,05.0127,1,3,Yale University,Japanese Studies,Area Studies,Humanities,1291,1470
2005,05.0127,2,3,Yale University,Japanese Studies,Area Studies,Humanities,1291,1470
2005,05.0199,1,4,Yale University,"Area Studies, Other",Area Studies,Humanities,1291,1470
2005,05.0199,2,1,Yale University,"Area Studies, Other",Area Studies,Humanities,1291,1470
2005,05.0201,1,1,Yale University,African-American/Black Studies,"Cultural, Ethnic, and Gender Studies",Humanities,1291,1470
2005,05.0207,1,4,Yale University,Women's Studies,"Cultural, Ethnic, and Gender Studies",Humanities,1291,1470
2005,05.0207,2,1,Yale University,Women's Studies,"Cultural, Ethnic, and Gender Studies",Humanities,1291,1470
2005,05.0299,1,0,Yale University,"Ethnic, Cultural Minority, Gender, and Group Studies, Other","Cultural, Ethnic, and Gender Studies",Humanities,1291,1470
2005,05.0299,2,11,Yale University,"Ethnic, Cultural Minority, Gender, and Group Studies, Other","Cultural, Ethnic, and Gender Studies",Humanities,1291,1470
2005,11.0101,1,20,Yale University,"Computer and Information Sciences, General",NA,Engineering,1291,1470
2005,11.0101,2,3,Yale University,"Computer and Information Sciences, General",NA,Engineering,1291,1470
2005,14.0101,1,0,Yale University,"Engineering, General",NA,Engineering,1291,1470
2005,14.0501,1,11,Yale University,Bioengineering and Biomedical Engineering,NA,Engineering,1291,1470
2005,14.0501,2,1,Yale University,Bioengineering and Biomedical Engineering,NA,Engineering,1291,1470
2005,14.0701,1,5,Yale University,Chemical Engineering,NA,Engineering,1291,1470
2005,14.1001,1,4,Yale University,Electrical and Electronics Engineering,NA,Engineering,1291,1470
2005,14.1201,1,6,Yale University,Engineering Physics/Applied Physics,NA,Engineering,1291,1470
2005,14.1301,1,12,Yale University,Engineering Science,NA,Engineering,1291,1470
2005,14.1301,2,3,Yale University,Engineering Science,NA,Engineering,1291,1470
2005,14.1401,1,7,Yale University,Environmental/Environmental Health Engineering,NA,Engineering,1291,1470
2005,14.1901,1,9,Yale University,Mechanical Engineering,NA,Engineering,1291,1470
2005,16.0102,1,3,Yale University,Linguistics,Linguistics,Humanities,1291,1470
2005,16.0104,1,1,Yale University,Comparative Literature,Comparative Literature,Humanities,1291,1470
2005,16.0301,1,1,Yale University,Chinese Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0301,2,1,Yale University,Chinese Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0302,1,1,Yale University,Japanese Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0402,1,0,Yale University,Russian Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0500,1,1,Yale University,"Germanic Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0901,1,3,Yale University,French Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0901,2,7,Yale University,French Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0902,1,1,Yale University,Italian Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0902,2,1,Yale University,Italian Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0904,1,0,Yale University,Portuguese Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0905,1,5,Yale University,Spanish Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.0905,2,3,Yale University,Spanish Language and Literature,Languages and Literatures Other than English,Humanities,1291,1470
2005,16.1103,1,3,Yale University,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics",Languages and Literatures Other than English,Humanities,1291,1470
2005,16.1103,2,5,Yale University,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics",Languages and Literatures Other than English,Humanities,1291,1470
2005,16.1200,1,0,Yale University,"Classics and Classical Languages, Literatures, and Linguistics, General",Classical Studies,Humanities,1291,1470
2005,16.1202,1,4,Yale University,Ancient/Classical Greek Language and Literature,Classical Studies,Humanities,1291,1470
2005,16.1203,1,3,Yale University,Latin Language and Literature,Classical Studies,Humanities,1291,1470
2005,16.1203,2,1,Yale University,Latin Language and Literature,Classical Studies,Humanities,1291,1470
2005,23.0101,1,95,Yale University,"English Language and Literature, General",English Language and Literature,Humanities,1291,1470
2005,23.0101,2,6,Yale University,"English Language and Literature, General",English Language and Literature,Humanities,1291,1470
2005,23.9999,1,23,Yale University,"English Language and Literature/Letters, Other",English Language and Literature,Humanities,1291,1470
2005,23.9999,2,2,Yale University,"English Language and Literature/Letters, Other",English Language and Literature,Humanities,1291,1470
2005,24.0103,1,7,Yale University,Humanities/Humanistic Studies,General Humanities/Liberal Studies,Humanities,1291,1470
2005,26.0101,1,79,Yale University,"Biology/Biological Sciences, General",NA,Natural Sciences,1291,1470
2005,26.0101,2,2,Yale University,"Biology/Biological Sciences, General",NA,Natural Sciences,1291,1470
2005,26.0210,1,32,Yale University,Biochemistry and Molecular Biology,NA,Natural Sciences,1291,1470
2005,26.0210,2,3,Yale University,Biochemistry and Molecular Biology,NA,Natural Sciences,1291,1470
2005,26.0406,1,2,Yale University,Cell/Cellular and Molecular Biology,NA,Natural Sciences,1291,1470
2005,26.1303,1,0,Yale University,Evolutionary Biology,NA,Natural Sciences,1291,1470
2005,27.0101,1,12,Yale University,"Mathematics, General",NA,Natural Sciences,1291,1470
2005,27.0101,2,5,Yale University,"Mathematics, General",NA,Natural Sciences,1291,1470
2005,27.0301,1,3,Yale University,"Applied Mathematics, General",NA,Natural Sciences,1291,1470
2005,30.0801,1,2,Yale University,Mathematics and Computer Science,NA,Engineering,1291,1470
2005,30.1301,1,2,Yale University,Medieval and Renaissance Studies,Selected Interdisciplinary Studies,Humanities,1291,1470
2005,30.2001,1,0,Yale University,International/Globalization Studies,NA,Social & Behavioral Sciences,1291,1470
2005,30.2001,2,38,Yale University,International/Globalization Studies,NA,Social & Behavioral Sciences,1291,1470
2005,30.2501,1,8,Yale University,"Cognitive Science, General",NA,Natural Sciences,1291,1470
2005,30.9999,1,98,Yale University,"Multi-/Interdisciplinary Studies, Other",NA,Other/Unknown,1291,1470
2005,30.9999,2,4,Yale University,"Multi-/Interdisciplinary Studies, Other",NA,Other/Unknown,1291,1470
2005,38.0101,1,16,Yale University,Philosophy,Philosophy,Humanities,1291,1470
2005,38.0101,2,2,Yale University,Philosophy,Philosophy,Humanities,1291,1470
2005,38.0201,1,11,Yale University,Religion/Religious Studies,Religion,Humanities,1291,1470
2005,38.0201,2,2,Yale University,Religion/Religious Studies,Religion,Humanities,1291,1470
2005,38.0206,1,0,Yale University,Jewish/Judaic Studies,Religion,Humanities,1291,1470
2005,40.0201,1,1,Yale University,Astronomy,NA,Natural Sciences,1291,1470
2005,40.0299,1,1,Yale University,"Astronomy and Astrophysics, Other",NA,Natural Sciences,1291,1470
2005,40.0501,1,9,Yale University,"Chemistry, General",NA,Natural Sciences,1291,1470
2005,40.0601,1,4,Yale University,"Geology/Earth Science, General",NA,Natural Sciences,1291,1470
2005,40.0601,2,1,Yale University,"Geology/Earth Science, General",NA,Natural Sciences,1291,1470
2005,40.0801,1,9,Yale University,"Physics, General",NA,Natural Sciences,1291,1470
2005,40.0801,2,1,Yale University,"Physics, General",NA,Natural Sciences,1291,1470
2005,42.0101,1,80,Yale University,"Psychology, General",NA,Social & Behavioral Sciences,1291,1470
2005,42.0101,2,4,Yale University,"Psychology, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.0201,1,20,Yale University,"Anthropology, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.0301,1,6,Yale University,Archeology,Archaeology,Humanities,1291,1470
2005,45.0601,1,118,Yale University,"Economics, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.0601,2,18,Yale University,"Economics, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.1001,1,154,Yale University,"Political Science and Government, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.1001,2,17,Yale University,"Political Science and Government, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.1101,1,23,Yale University,"Sociology, General",NA,Social & Behavioral Sciences,1291,1470
2005,50.0501,1,24,Yale University,"Drama and Dramatics/Theatre Arts, General",NA,Fine & Performing Arts,1291,1470
2005,50.0501,2,5,Yale University,"Drama and Dramatics/Theatre Arts, General",NA,Fine & Performing Arts,1291,1470
2005,50.0601,1,11,Yale University,Film/Cinema/Media Studies,Study of the Arts,Humanities,1291,1470
2005,50.0601,2,5,Yale University,Film/Cinema/Media Studies,Study of the Arts,Humanities,1291,1470
2005,50.0701,1,22,Yale University,"Art/Art Studies, General",NA,Fine & Performing Arts,1291,1470
2005,50.0701,2,4,Yale University,"Art/Art Studies, General",NA,Fine & Performing Arts,1291,1470
2005,50.0703,1,20,Yale University,"Art History, Criticism and Conservation",Study of the Arts,Humanities,1291,1470
2005,50.0703,2,1,Yale University,"Art History, Criticism and Conservation",Study of the Arts,Humanities,1291,1470
2005,50.0901,1,18,Yale University,"Music, General",NA,Fine & Performing Arts,1291,1470
