year,classification,share_students
2005,Humanities and Art,0.28824626865671643
2005,Math and Stats,0.08395522388059702
2005,Public Policy,0.027052238805970148
2006,Humanities and Art,0.3190127970749543
2006,Math and Stats,0.07678244972577697
2006,Public Policy,0.0283363802559415
2007,Humanities and Art,0.3146067415730337
2007,Math and Stats,0.09248055315471046
2007,Public Policy,0.03111495246326707
2008,Humanities and Art,0.3139240506329114
2008,Math and Stats,0.0759493670886076
2008,Public Policy,0.04725738396624472
2009,Humanities and Art,0.323943661971831
2009,Math and Stats,0.08947804473902236
2009,Public Policy,0.03893951946975974
2010,Humanities and Art,0.28866832092638545
2010,Math and Stats,0.08436724565756824
2010,Public Policy,0.04052936311000827
2011,Humanities and Art,0.26535433070866143
2011,Math and Stats,0.08897637795275591
2011,Public Policy,0.04094488188976378
2012,Humanities and Art,0.2673107890499195
2012,Math and Stats,0.09017713365539452
2012,Public Policy,0.04750402576489533
2013,Humanities and Art,0.2605633802816901
2013,Math and Stats,0.11267605633802817
2013,Public Policy,0.06338028169014084
2014,Humanities and Art,0.27292418772563176
2014,Math and Stats,0.12057761732851986
2014,Public Policy,0.05270758122743682
2015,Humanities and Art,0.2579185520361991
2015,Math and Stats,0.11840120663650075
2015,Public Policy,0.07088989441930618
2016,Humanities and Art,0.24914675767918087
2016,Math and Stats,0.13447098976109215
2016,Public Policy,0.07849829351535836
2017,Humanities and Art,0.2211882605583393
2017,Math and Stats,0.1639226914817466
2017,Public Policy,0.06299212598425197
2018,Humanities and Art,0.2530035335689046
2018,Math and Stats,0.14487632508833923
2018,Public Policy,0.09328621908127209
2019,Humanities and Art,0.2743421052631579
2019,Math and Stats,0.17039473684210527
2019,Public Policy,0.09276315789473684
2020,Humanities and Art,0.2554027504911591
2020,Math and Stats,0.15389652914210872
2020,Public Policy,0.08447937131630648
2021,Humanities and Art,0.2604884157795867
2021,Math and Stats,0.14402003757044457
2021,Public Policy,0.06574827802128992
2022,Humanities and Art,0.23596792668957617
2022,Math and Stats,0.13974799541809851
2022,Public Policy,0.06529209621993128
2023,Humanities and Art,0.22261693309650682
2023,Math and Stats,0.13558318531675548
2023,Public Policy,0.047365304914150384
2024,Humanities and Art,0.21910695742471442
2024,Math and Stats,0.1272066458982347
2024,Public Policy,0.05347871235721703
