major,year,share_students
Anthropology,2005,0.03171641791044776
Anthropology,2006,0.04021937842778794
Anthropology,2007,0.03197925669835782
Anthropology,2008,0.03713080168776371
Anthropology,2009,0.033140016570008285
Anthropology,2010,0.03225806451612903
Anthropology,2011,0.03464566929133858
Anthropology,2012,0.04589371980676329
Anthropology,2013,0.032081377151799685
Anthropology,2014,0.01444043321299639
Anthropology,2015,0.02865761689291101
Anthropology,2016,0.019795221843003412
Anthropology,2017,0.015748031496062992
Anthropology,2018,0.015547703180212015
Anthropology,2019,0.017105263157894738
Anthropology,2020,0.01309757694826457
Anthropology,2021,0.01878522229179712
Anthropology,2022,0.018900343642611683
Anthropology,2023,0.016577856719952634
Anthropology,2024,0.016095534787123573
Art History,2005,0.010261194029850746
Art History,2006,0.008226691042047532
Art History,2007,0.00950734658599827
Art History,2008,0.015189873417721518
Art History,2009,0.013256006628003313
Art History,2010,0.009925558312655087
Art History,2011,0.007874015748031496
Art History,2012,0.00644122383252818
Art History,2013,0.007042253521126761
Art History,2014,0.010108303249097473
Art History,2015,0.00980392156862745
Art History,2016,0.010921501706484642
Art History,2017,0.007874015748031496
Art History,2018,0.009893992932862191
Art History,2019,0.009868421052631578
Art History,2020,0.0137524557956778
Art History,2021,0.01628052598622417
Art History,2022,0.0074455899198167235
Art History,2023,0.010065127294256957
Art History,2024,0.016095534787123573
Astrophysics,2019,0.0059210526315789476
Astrophysics,2020,0.003929273084479371
Astrophysics,2021,0.013149655604257984
Astrophysics,2022,0.013745704467353952
Astrophysics,2023,0.013025458851391355
Astrophysics,2024,0.013499480789200415
Biological Chemistry,2005,0.010261194029850746
Biological Chemistry,2006,0.010054844606946984
Biological Chemistry,2007,0.015557476231633534
Biological Chemistry,2008,0.015189873417721518
Biological Chemistry,2009,0.014913007456503728
Biological Chemistry,2010,0.017369727047146403
Biological Chemistry,2011,0.01653543307086614
Biological Chemistry,2012,0.017713365539452495
Biological Chemistry,2013,0.012519561815336464
Biological Chemistry,2014,0.017328519855595668
Biological Chemistry,2015,0.016591251885369532
Biological Chemistry,2016,0.011604095563139932
Biological Chemistry,2017,0.018611309949892626
Biological Chemistry,2018,0.01060070671378092
Biological Chemistry,2019,0.009868421052631578
Biological Chemistry,2020,0.015717092337917484
Biological Chemistry,2021,0.014402003757044458
Biological Chemistry,2022,0.013172966781214204
Biological Chemistry,2023,0.017169923031379514
Biological Chemistry,2024,0.016095534787123573
Biological Sciences,2005,0.12779850746268656
Biological Sciences,2006,0.12431444241316271
Biological Sciences,2007,0.11927398444252377
Biological Sciences,2008,0.12742616033755275
Biological Sciences,2009,0.12841756420878211
Biological Sciences,2010,0.10587262200165426
Biological Sciences,2011,0.13385826771653545
Biological Sciences,2012,0.12318840579710146
Biological Sciences,2013,0.12441314553990611
Biological Sciences,2014,0.14657039711191336
Biological Sciences,2015,0.10935143288084465
Biological Sciences,2016,0.11331058020477816
Biological Sciences,2017,0.11166785969935576
Biological Sciences,2018,0.09540636042402827
Biological Sciences,2019,0.08355263157894736
Biological Sciences,2020,0.0962671905697446
Biological Sciences,2021,0.07639323731997495
Biological Sciences,2022,0.07789232531500573
Biological Sciences,2023,0.07519242155121374
Biological Sciences,2024,0.07217030114226376
Chemistry,2005,0.025186567164179104
Chemistry,2006,0.031078610603290677
Chemistry,2007,0.032843560933448576
Chemistry,2008,0.03375527426160337
Chemistry,2009,0.03231151615575808
Chemistry,2010,0.03143093465674111
Chemistry,2011,0.03307086614173228
Chemistry,2012,0.027375201288244767
Chemistry,2013,0.0406885758998435
Chemistry,2014,0.03898916967509025
Chemistry,2015,0.042986425339366516
Chemistry,2016,0.027303754266211604
Chemistry,2017,0.030064423765211165
Chemistry,2018,0.028975265017667843
Chemistry,2019,0.029605263157894735
Chemistry,2020,0.030124426981008513
Chemistry,2021,0.03005635566687539
Chemistry,2022,0.022336769759450172
Chemistry,2023,0.03433984606275903
Chemistry,2024,0.02544132917964694
Cinema and Media Studies,2005,0.010261194029850746
Cinema and Media Studies,2006,0.010968921389396709
Cinema and Media Studies,2007,0.013828867761452032
Cinema and Media Studies,2008,0.015189873417721518
Cinema and Media Studies,2009,0.006628003314001657
Cinema and Media Studies,2010,0.011579818031430935
Cinema and Media Studies,2011,0.009448818897637795
Cinema and Media Studies,2012,0.007246376811594203
Cinema and Media Studies,2013,0.008607198748043818
Cinema and Media Studies,2014,0.005054151624548736
Cinema and Media Studies,2015,0.011312217194570135
Cinema and Media Studies,2016,0.008873720136518772
Cinema and Media Studies,2017,0.010021474588403722
Cinema and Media Studies,2018,0.008480565371024734
Cinema and Media Studies,2019,0.010526315789473684
Cinema and Media Studies,2020,0.008513425016371971
Cinema and Media Studies,2021,0.010018785222291797
Cinema and Media Studies,2022,0.012027491408934709
Cinema and Media Studies,2023,0.009473060982830076
Cinema and Media Studies,2024,0.009865005192107996
Classical Studies,2005,0.009328358208955223
Classical Studies,2006,0.007312614259597806
Classical Studies,2007,0.018150388936905792
Classical Studies,2008,0.018565400843881856
Classical Studies,2009,0.007456503728251864
Classical Studies,2010,0.009925558312655087
Classical Studies,2011,0.010236220472440945
Classical Studies,2012,0.013687600644122383
Classical Studies,2013,0.01643192488262911
Classical Studies,2014,0.005776173285198556
Classical Studies,2015,0.006033182503770739
Classical Studies,2016,0.00477815699658703
Classical Studies,2017,0.012884753042233358
Classical Studies,2018,0.012014134275618375
Classical Studies,2019,0.004605263157894736
Classical Studies,2020,0.005239030779305829
Classical Studies,2021,0.006261740763932373
Classical Studies,2022,0.010309278350515464
Classical Studies,2023,0.008880994671403197
Classical Studies,2024,0.00778816199376947
Cognitive Science,2023,0.0011841326228537595
Cognitive Science,2024,0.006749740394600207
Comparative Human Development,2010,0.018196856906534328
Comparative Human Development,2011,0.024409448818897637
Comparative Human Development,2012,0.027375201288244767
Comparative Human Development,2013,0.02269170579029734
Comparative Human Development,2014,0.020938628158844765
Comparative Human Development,2015,0.017345399698340876
Comparative Human Development,2016,0.020477815699658702
Comparative Human Development,2017,0.020042949176807445
Comparative Human Development,2018,0.022614840989399292
