instnm,year,share_students
University of Chicago,2004,0.2248134328358209
University of Chicago,2005,0.21846435100548445
University of Chicago,2006,0.20224719101123595
University of Chicago,2007,0.1780590717299578
University of Chicago,2008,0.21292460646230324
University of Chicago,2009,0.21588089330024815
University of Chicago,2010,0.2346456692913386
University of Chicago,2011,0.2109500805152979
University of Chicago,2012,0.20579029733959311
University of Chicago,2013,0.23104693140794225
University of Chicago,2014,0.248868778280543
University of Chicago,2015,0.2525597269624573
University of Chicago,2016,0.2619899785254116
University of Chicago,2017,0.24664310954063604
University of Chicago,2018,0.2657894736842105
University of Chicago,2019,0.2770137524557957
University of Chicago,2020,0.30745147150907953
University of Chicago,2021,0.3631156930126002
University of Chicago,2022,0.36826524570751923
University of Chicago,2023,0.35202492211838005
University of Pennsylvania,2004,0.4004905395935529
University of Pennsylvania,2005,0.39693058946634113
University of Pennsylvania,2006,0.3726532058094226
University of Pennsylvania,2007,0.3882863340563991
University of Pennsylvania,2008,0.37336630166019075
University of Pennsylvania,2009,0.38031723143475127
University of Pennsylvania,2010,0.3898305084745763
University of Pennsylvania,2011,0.37873988032382966
University of Pennsylvania,2012,0.3746488764044944
University of Pennsylvania,2013,0.3632712668857247
University of Pennsylvania,2014,0.38403990024937656
University of Pennsylvania,2015,0.3710283566791937
University of Pennsylvania,2016,0.36597938144329895
University of Pennsylvania,2017,0.3831908831908832
University of Pennsylvania,2018,0.390992835209826
University of Pennsylvania,2019,0.3995908625980225
University of Pennsylvania,2020,0.38303886925795055
University of Pennsylvania,2021,0.3855001742767515
University of Pennsylvania,2022,0.3661616161616162
University of Pennsylvania,2023,0.3728333922886452
University of Chicago,2024,0.41
