school,year,type,"Degree-Seeking
First-Time
First Year",Degree-Seeking Undergraduates (include first-time first-year),Total Undergraduates (both degree- and non-degreeseeking),,,,,,
UChicago,2021-2022,Nonresident aliens,313,"1,186","1,199",,,,,,
UChicago,2021-2022,Hispanic/Latino,332,"1,122","1,122",,,,,,
UChicago,2021-2022,"Black or African American, non-Hispanic",162,456,456,,,,,,
UChicago,2021-2022,"White, non-Hispanic",626,"2,513","2,513",,,,,,
UChicago,2021-2022,"American Indian or Alaska Native, non-Hispanic",0,1,1,,,,,,
UChicago,2021-2022,"Asian, non-Hispanic",374,"1,499","1,499",,,,,,
UChicago,2021-2022,"Native Hawaiian or other Pacific Islander, nonHispanic",0,1,1,,,,,,
UChicago,2021-2022,"Two or more races, non-Hispanic",141,525,525,,,,,,
UChicago,2021-2022,Race and/or ethnicity unknown,105,210,210,,,,,,
UChicago,2022-2023,Nonresident aliens,266,"1,190","1,201",,0,,,,
UChicago,2022-2023,Hispanic/Latino,369,"1,215","1,215",,,,,,
UChicago,2022-2023,"Black or African American, non-Hispanic",153,502,502,,,,,,
UChicago,2022-2023,"White, non-Hispanic",487,"2,393","2,393",,,,,,
UChicago,2022-2023,"American Indian or Alaska Native, non-Hispanic",0,1,1,,,,,,
UChicago,2022-2023,"Asian, non-Hispanic",293,"1,480","1,480",,,,,,
UChicago,2022-2023,"Native Hawaiian or other Pacific Islander, nonHispanic",0,1,1,,,,,,
UChicago,2022-2023,"Two or more races, non-Hispanic",129,527,527,,,,,,
UChicago,2022-2023,Race and/or ethnicity unknown,32,150,150,,,,,,
UChicago,2023-2024,Nonresident aliens,302,1195,"1,211",,,,,,
UChicago,2023-2024,Hispanic/Latino,313,1278,"1,278",,,,,,
UChicago,2023-2024,"Black or African American, non-Hispanic",115,520,520,,,,,,
UChicago,2023-2024,"White, non-Hispanic",520,2308,"2,308",,,,,,
UChicago,2023-2024,"American Indian or Alaska Native, non-Hispanic",1,2,2,,,,,,
UChicago,2023-2024,"Asian, non-Hispanic",333,1475,"1,475",,,,,,
UChicago,2023-2024,"Native Hawaiian or other Pacific Islander, nonHispanic",0,1,1,,,,,,
UChicago,2023-2024,"Two or more races, non-Hispanic",119,529,529,,,,,,
UChicago,2023-2024,Race and/or ethnicity unknown,46,165,165,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"SUM of Degree-Seeking
First-Time
First Year",type,,,,,,,,,
,year,"American Indian or Alaska Native, non-Hispanic","Asian, non-Hispanic","Black or African American, non-Hispanic",Hispanic/Latino,"Native Hawaiian or other Pacific Islander, nonHispanic",Nonresident aliens,Race and/or ethnicity unknown,"Two or more races, non-Hispanic","White, non-Hispanic",Grand Total
,2021-2022,0.0%,18.2%,7.9%,16.2%,0.0%,15.2%,5.1%,6.9%,30.5%,100.00%
,2022-2023,0.0%,16.9%,8.8%,21.3%,0.0%,15.4%,1.9%,7.5%,28.2%,100.00%
,2023-2024,0.1%,19.0%,6.6%,17.9%,0.0%,17.3%,2.6%,6.8%,29.7%,100.00%
,Grand Total,0.0001807991322,18.08%,0.07774362683,18.33%,0.00%,15.93%,3.31%,7.03%,29.52%,100.00%
