committee_name,simple_lean
RO FOR CONGRESS INC,D
EMILYS LIST,D
DR. BRIAN WILLIAMS FOR CONGRESS,D
DCCC,D
PETERS FOR MICHIGAN,D
DEMOCRATIC PARTY OF WISCONSIN FEDERAL,D
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",R
AMY KLOBUCHAR VICTORY COMMITTEE,D
MARCH ON PAC,D
WARNOCK FOR GEORGIA,D
FRIENDS OF DICK DURBIN COMMITTEE,D
HILLARY FOR AMERICA,D
REPUBLICAN NATIONAL COMMITTEE,R
SCHAKOWSKY FOR CONGRESS,D
DSCC,D
WHITEHOUSE FOR SENATE,D
JILL STEIN FOR PRESIDENT,D
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,D
KEVIN MCCARTHY FOR CONGRESS,R
WFP NATIONAL PAC,D
JON OSSOFF FOR SENATE,D
MAGGIE FOR NH,D
PATTY JUDGE FOR IOWA,D
DEBORAH ROSS FOR SENATE,D
CASTEN FOR CONGRESS,D
JEFF JACKSON FOR CONGRESS,D
CONGRESSIONAL BLACK CAUCUS PAC,D
ANGIE CRAIG FOR CONGRESS,D
PROGRESSIVE TURNOUT PROJECT,D
DEMOCRATIC ACTION,D
LAUREN UNDERWOOD FOR CONGRESS,D
BIDEN FOR PRESIDENT/BIDEN VICTORY FUND,D
MARK KELLY FOR SENATE,D
CORY BOOKER FOR SENATE,D
ACTBLUE,D
NEWSOM FOR CALIFORNIA GOVERNOR 2022,D
OCCUPY DEMOCRATS ELECTION FUND,D
MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,D
HOUSE FREEDOM FUND,R
BILL FOSTER FOR CONGRESS,D
DEMAND JUSTICE PAC,D
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,D
SCHIFF FOR SENATE,D
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,R
SENATE CONSERVATIVES FUND,R
TAMMY FOR ILLINOIS,D
SMP,D
FAIR FIGHT,D
BOOKER VICTORY FUND,D
VPP,D
MARTIN HEINRICH FOR SENATE,D
"DONALD J. TRUMP FOR PRESIDENT, INC.",R
FRIENDS OF SHAUGHNESSY NAUGHTON,D
CATHERINE CORTEZ MASTO FOR SENATE,D
RO FOR CONGRESS INC.,D
MARCO RUBIO FOR PRESIDENT,R
NANCY ROTERING FOR CONGRESS,D
HOUSE MAJORITY PAC,D
ANDREA ZOPP FOR US SENATE,D
ELISSA SLOTKIN FOR MICHIGAN,D
END CITIZENS UNITED,D
WINRED,R
MOVEON.ORG POLITICAL ACTION,D
MONTANANS FOR TESTER,D
NANCY PELOSI FOR CONGRESS,D
ERIC SORENSEN FOR ILLINOIS,D
ANDY KIM FOR NEW JERSEY,D
NIKKI HALEY FOR PRESIDENT INC.,R
FRIENDS OF SCHUMER,D
