date,shelter,count,area
6/9/2023,American Islamic College,,north
6/9/2023,Brands Park,169,north
6/9/2023,Broadway Armory,,north
6/9/2023,Casa Esperanza,,west
6/9/2023,Daley College,172,south
6/9/2023,Elston,,west
6/9/2023,Gage Park,,south
6/9/2023,Halsted,,south
6/9/2023,Harold Washington Library,,loop
6/9/2023,High Ridge YMCA,158,north
6/9/2023,Inn of Chicago,1432,loop
6/9/2023,Lakeshore Hotel,,south
6/9/2023,Leone Beach,100,north
6/9/2023,Little Village - Pulaski CVS,,west
6/9/2023,MWRD,,north
6/9/2023,Near South Health Center,,south
6/9/2023,New Life Church,,north
6/9/2023,North Park Village,92,north
6/9/2023,North Western,,west
6/9/2023,Ogden,,west
6/9/2023,Parthenon,,west
6/9/2023,Piotrowski Park,195,west
6/9/2023,Shield of Hope,92,west
6/9/2023,Social Club,1026,loop
6/9/2023,Super 8 Motel,,north
6/9/2023,Wadsworth,596,south
6/9/2023,Walnut,,west
6/9/2023,West Lake,,west
6/9/2023,Wright,368,north
6/9/2023,YWLA,247,south
6/16/2023,American Islamic College,,north
6/16/2023,Brands Park,155,north
6/16/2023,Broadway Armory,,north
6/16/2023,Casa Esperanza,,west
6/16/2023,Daley College,411,south
6/16/2023,Elston,,west
6/16/2023,Gage Park,,south
6/16/2023,Halsted,,south
6/16/2023,Harold Washington Library,,loop
6/16/2023,High Ridge YMCA,126,north
6/16/2023,Inn of Chicago,1252,loop
6/16/2023,Lakeshore Hotel,,south
6/16/2023,Leone Beach,97,north
6/16/2023,Little Village - Pulaski CVS,,west
6/16/2023,MWRD,,north
6/16/2023,Near South Health Center,,south
6/16/2023,New Life Church,,north
6/16/2023,North Park Village,102,north
6/16/2023,North Western,,west
6/16/2023,Ogden,,west
6/16/2023,Parthenon,,west
6/16/2023,Piotrowski Park,197,west
6/16/2023,Shield of Hope,90,west
6/16/2023,Social Club,1033,loop
6/16/2023,Super 8 Motel,,north
6/16/2023,Wadsworth,598,south
6/16/2023,Walnut,,west
6/16/2023,West Lake,,west
6/16/2023,Wright,384,north
6/16/2023,YWLA,248,south
6/23/2023,American Islamic College,,north
6/23/2023,Brands Park,144,north
6/23/2023,Broadway Armory,,north
6/23/2023,Casa Esperanza,,west
6/23/2023,Daley College,415,south
6/23/2023,Elston,,west
6/23/2023,Gage Park,,south
6/23/2023,Halsted,,south
6/23/2023,Harold Washington Library,,loop
6/23/2023,High Ridge YMCA,148,north
6/23/2023,Inn of Chicago,1398,loop
6/23/2023,Lakeshore Hotel,,south
6/23/2023,Leone Beach,97,north
6/23/2023,Little Village - Pulaski CVS,,west
6/23/2023,MWRD,,north
6/23/2023,Near South Health Center,,south
6/23/2023,New Life Church,,north
6/23/2023,North Park Village,125,north
6/23/2023,North Western,,west
6/23/2023,Ogden,,west
6/23/2023,Parthenon,,west
6/23/2023,Piotrowski Park,200,west
6/23/2023,Shield of Hope,,west
6/23/2023,Social Club,1084,loop
6/23/2023,Super 8 Motel,,north
6/23/2023,Wadsworth,588,south
