date,staging,count
6/9/2023,Landing Zone,
6/9/2023,O'Hare Airport,11
6/9/2023,Midway Airport,
6/9/2023,Police Districts (All),459
6/16/2023,Landing Zone,
6/16/2023,O'Hare Airport,11
6/16/2023,Midway Airport,
6/16/2023,Police Districts (All),387
6/23/2023,Landing Zone,
6/23/2023,O'Hare Airport,56
6/23/2023,Midway Airport,
6/23/2023,Police Districts (All),460
6/30/2023,Landing Zone,
6/30/2023,O'Hare Airport,0
6/30/2023,Midway Airport,
6/30/2023,Police Districts (All),687
7/7/2023,Landing Zone,
7/7/2023,O'Hare Airport,32
7/7/2023,Midway Airport,
7/7/2023,Police Districts (All),760
7/14/2023,Landing Zone,
7/14/2023,O'Hare Airport,34
7/14/2023,Midway Airport,
7/14/2023,Police Districts (All),772
7/21/2023,Landing Zone,
7/21/2023,O'Hare Airport,95
7/21/2023,Midway Airport,3
7/21/2023,Police Districts (All),860
7/28/2023,Landing Zone,
7/28/2023,O'Hare Airport,37
7/28/2023,Midway Airport,0
7/28/2023,Police Districts (All),795
8/4/2023,Landing Zone,
8/4/2023,O'Hare Airport,31
8/4/2023,Midway Airport,0
8/4/2023,Police Districts (All),695
8/11/2023,Landing Zone,
8/11/2023,O'Hare Airport,100
8/11/2023,Midway Airport,0
8/11/2023,Police Districts (All),932
8/18/2023,Landing Zone,
8/18/2023,O'Hare Airport,170
8/18/2023,Midway Airport,8
8/18/2023,Police Districts (All),1100
8/25/2023,Landing Zone,
8/25/2023,O'Hare Airport,292
8/25/2023,Midway Airport,0
8/25/2023,Police Districts (All),1347
9/1/2023,Landing Zone,
9/1/2023,O'Hare Airport,418
9/1/2023,Midway Airport,0
9/1/2023,Police Districts (All),1576
9/8/2023,Landing Zone,
9/8/2023,O'Hare Airport,472
9/8/2023,Midway Airport,21
9/8/2023,Police Districts (All),1539
9/15/2023,Landing Zone,
9/15/2023,O'Hare Airport,466
9/15/2023,Midway Airport,0
9/15/2023,Police Districts (All),1641
9/22/2023,Landing Zone,
9/22/2023,O'Hare Airport,502
9/22/2023,Midway Airport,8
9/22/2023,Police Districts (All),1496
9/29/2023,Landing Zone,
9/29/2023,O'Hare Airport,483
9/29/2023,Midway Airport,22
9/29/2023,Police Districts (All),1741
10/6/2023,Landing Zone,
10/6/2023,O'Hare Airport,828
10/6/2023,Midway Airport,28
10/6/2023,Police Districts (All),2526
10/13/2023,Landing Zone,
10/13/2023,O'Hare Airport,449
10/13/2023,Midway Airport,3
10/13/2023,Police Districts (All),3115
10/20/2023,Landing Zone,
10/20/2023,O'Hare Airport,660
10/20/2023,Midway Airport,10
10/20/2023,Police Districts (All),3014
10/27/2023,Landing Zone,
10/27/2023,O'Hare Airport,536
10/27/2023,Midway Airport,0
10/27/2023,Police Districts (All),2808
11/3/2023,Landing Zone,
11/3/2023,O'Hare Airport,503
11/3/2023,Midway Airport,1
11/3/2023,Police Districts (All),2724
11/10/2023,Landing Zone,
11/10/2023,O'Hare Airport,580
11/10/2023,Midway Airport,0
11/10/2023,Police Districts (All),1947
11/17/2023,Landing Zone,
11/17/2023,O'Hare Airport,575
11/17/2023,Midway Airport,3
11/17/2023,Police Districts (All),1640
11/24/2023,Landing Zone,
11/24/2023,O'Hare Airport,276
11/24/2023,Midway Airport,0
11/24/2023,Police Districts (All),1237
12/1/2023,Landing Zone,
12/1/2023,O'Hare Airport,155
12/1/2023,Midway Airport,0
12/1/2023,Police Districts (All),877
12/8/2023,Landing Zone,
12/8/2023,O'Hare Airport,176
12/8/2023,Midway Airport,0
12/8/2023,Police Districts (All),399
12/15/2023,Landing Zone,
12/15/2023,O'Hare Airport,228
12/15/2023,Midway Airport,0
12/15/2023,Police Districts (All),111
12/22/2023,Landing Zone,
12/22/2023,O'Hare Airport,216
12/22/2023,Midway Airport,0
12/22/2023,Police Districts (All),35
12/29/2023,Landing Zone,
12/29/2023,O'Hare Airport,240
12/29/2023,Midway Airport,1
12/29/2023,Police Districts (All),12
1/5/2024,Landing Zone,
1/5/2024,O'Hare Airport,245
1/5/2024,Midway Airport,0
1/5/2024,Police Districts (All),17
1/12/2024,Landing Zone,139
1/12/2024,O'Hare Airport,263
1/12/2024,Midway Airport,3
1/12/2024,Police Districts (All),1
1/19/2024,Landing Zone,2
1/19/2024,O'Hare Airport,216
1/19/2024,Midway Airport,0
1/19/2024,Police Districts (All),12
1/26/2024,Landing Zone,11
1/26/2024,O'Hare Airport,188
1/26/2024,Midway Airport,0
1/26/2024,Police Districts (All),3
2/2/2024,Landing Zone,0
2/2/2024,O'Hare Airport,67
2/2/2024,Midway Airport,0
2/2/2024,Police Districts (All),2
2/9/2024,Landing Zone,29
2/9/2024,O'Hare Airport,0
2/9/2024,Midway Airport,0
2/9/2024,Police Districts (All),0
